name,description,latitude,longitude,imgPath,phone,website,star,facility,tag,type,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
"เดอะ ชอร์ แอท กะตะธานี
The Shore at Katathani",,7.803555,98.3,"['https://media-cdn.tripadvisor.com/media/photo-s/23/68/d5/a1/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/19/a8/d1/9b/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/19/a8/d1/59/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/23/68/d5/70/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/23/68/d5/5f/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/19/fe/9a/24/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/16/1d/cd/2e/seaview-pool-villa-romance.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/5b/03/8c/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/23/68/d5/f3/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/5b/03/a0/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/e7/ca/a1/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/18/15/7a/84/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/15/7a/c6/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/15/77/99/the-shore-at-katathani.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/15/77/6b/the-shore-at-katathani.jpg']",+66 76 318 350,https://th.tripadvisor.com/Hotel_Review-g7847985-d1739625-Reviews-The_Shore_at_Katathani-Kata_Noi_Beach_Karon_Phuket.html?spAttributionToken=MjcwMTcwNTU,5.0,"['ที่จอดรถฟรี', 'อินเตอร์เน็ตความเร็วสูง (WiFi) ฟรี', 'ฟิตเนสเซนเตอร์พร้อมห้องออกกำลังกาย', 'สระว่ายน้ำ', 'อาหารเช้าฟรี', 'ชายหาด', 'บริการรถรับ-ส่งสนามบิน', 'สปา', 'ม่านกันแสง', 'ห้องพักแบบเก็บเสียง', 'เครื่องปรับอากาศ', 'ระเบียงส่วนตัว', 'บริการรูมเซอร์วิส', 'มินิบาร์', 'ทีวีจอแบน', 'โถชำระล้าง']","['วิวมหาสมุทร', 'วิวสระว่ายน้ำ', 'ห้องสวีทสำหรับคู่แต่งงาน', 'ห้องพักปลอดบุหรี่', 'ห้องสวีท']",[],"18 Kata Noi Rd, Kata Noi Beach, กะรน, จังหวัดภูเก็ต 83100 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,2025
"ภูเก็ต แมริออท รีสอร์ท แอนด์ สปา, เมอร์ลิน บีช
Phuket Marriott Resort & Spa, Merlin Beach",,7.884707,98.272835,"['https://media-cdn.tripadvisor.com/media/photo-s/0f/6f/9b/df/tri-trang-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0f/4a/86/c7/family-pool.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0d/e0/ae/fe/family-pool.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/10/22/ef/balcony-pool-view.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/10/23/8c/kids-club.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/10/23/10/balcony-pool-view.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/10/23/01/pool-terrace.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0d/e0/af/6c/merchant-kitchen-all.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0f/6f/9d/00/spa-tub.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0d/e0/af/45/merchant-kitchen-all.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0f/6f/a9/a4/wellness.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0d/e0/ae/e6/docg-italian-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0d/e0/af/42/lobby-bar.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0f/6f/9f/97/nam-tok-pool.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0f/6f/a0/05/family-pool.jpg']",+66 76 335 300,https://th.tripadvisor.com/Hotel_Review-g297930-d315568-Reviews-Phuket_Marriott_Resort_Spa_Merlin_Beach-Patong_Kathu_Phuket.html,5.0,"['ที่จอดรถฟรี', 'อินเตอร์เน็ตความเร็วสูง (WiFi) ฟรี', 'ฟิตเนสเซนเตอร์พร้อมห้องออกกำลังกาย', 'สระว่ายน้ำ', 'บาร์ / เลานจ์', 'ชายหาด', 'การดำน้ำ', 'เด็กเข้าพักฟรี', 'ห้องพักปลอดสารก่อภูมิแพ้', 'ม่านกันแสง', 'เครื่องปรับอากาศ', 'ชายหาดส่วนตัว', 'ห้องน้ำเพิ่มเติม', 'เครื่องชงกาแฟ / ชา', 'เคเบิลทีวี / ทีวีดาวเทียม', 'โถชำระล้าง']","['วิวมหาสมุทร', 'วิวสระว่ายน้ำ', 'ห้องพักปลอดบุหรี่', 'ห้องสวีท', 'ห้องสำหรับครอบครัว']",[],"99 ถนนหมื่นเงิน หาดไตรตรัง, ป่าตอง, กะทู้, จังหวัดภูเก็ต 83150 ไทย",ภูเก็ต,กะทู้,,83,8302,0,4.5,5832
"เดอะ มารีน่า ภูเก็ต
The Marina Phuket Hotel",,7.899594,98.30387,"['https://media-cdn.tripadvisor.com/media/photo-s/12/aa/e7/a4/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f6/5d/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f6/31/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f5/c1/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f3/a6/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f3/3f/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f3/2e/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f2/d6/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f2/c8/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f2/aa/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f2/6f/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f2/43/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f2/2e/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f2/13/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/77/f1/c2/caption.jpg']",,https://th.tripadvisor.com/Hotel_Review-g297930-d12725009-Reviews-The_Marina_Phuket_Hotel-Patong_Kathu_Phuket.html,4.0,"['ที่จอดรถฟรี', 'อินเตอร์เน็ตความเร็วสูง (WiFi) ฟรี', 'ฟิตเนสเซนเตอร์พร้อมห้องออกกำลังกาย', 'สระว่ายน้ำ', 'อาหารเช้าฟรี', 'เด็กเข้าพักฟรี', 'สระว่ายน้ำสำหรับเด็ก', 'บริการรถรับ-ส่งสนามบิน', 'ม่านกันแสง', 'ห้องพักแบบเก็บเสียง', 'เครื่องปรับอากาศ', 'โต๊ะทำงาน', 'บริการทำความสะอาด', 'เครื่องชงกาแฟ / ชา', 'เคเบิลทีวี / ทีวีดาวเทียม', 'อ่างอาบน้ำ / ฝักบัวอาบน้ำ']","['วิวภูเขา', 'ห้องพักปลอดบุหรี่', 'ห้องสวีท', 'ห้องสำหรับครอบครัว']",[],"240/9 Phang Muang Sai Kor Road, ป่าตอง, กะทู้, จังหวัดภูเก็ต 83150 ไทย",ภูเก็ต,กะทู้,,83,8302,0,5.0,4199
Chanalai Romantica Resort,,7.819152,98.3002,"['https://media-cdn.tripadvisor.com/media/photo-s/15/32/66/b0/chanalai-romantica-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/e4/e9/26/chanalai-romantica-resort.jpg', 'https://media-cdn.tripadvisor.com/media/oyster-panos/sources/deluxe-balcony-room-pool-view--v45026.tiles/wide_700.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/e4/e9/20/chanalai-romantica-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/e4/e9/1e/chanalai-romantica-resort.jpg', 'https://media-cdn.tripadvisor.com/media/oyster-panos/sources/pool--v45025.tiles/wide_700.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/e4/e2/c6/chanalai-romantica-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-w/17/e4/e2/be/chanalai-romantica-resort.jpg', 'https://media-cdn.tripadvisor.com/media/oyster-panos/sources/star-dust--v45028.tiles/wide_700.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/e4/e2/b6/chanalai-romantica-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/e4/e2/b3/chanalai-romantica-resort.jpg', 'https://media-cdn.tripadvisor.com/media/oyster-panos/sources/lobby--v45029.tiles/wide_700.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/e4/e2/af/chanalai-romantica-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/e4/e2/a3/chanalai-romantica-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/32/66/8a/chanalai-romantica-resort.jpg']",+66 76 333 105,https://th.tripadvisor.com/Hotel_Review-g1210687-d1379794-Reviews-Chanalai_Romantica_Resort-Kata_Beach_Karon_Phuket.html,4.0,"['ที่จอดรถฟรี', 'อินเตอร์เน็ตความเร็วสูง (WiFi) ฟรี', 'สระว่ายน้ำ', 'อาหารเช้าฟรี', 'บริการรถรับ-ส่งสนามบิน', 'ศูนย์บริการธุรกิจพร้อมบริการอินเทอร์เน็ต', 'การรักษาความปลอดภัยตลอด 24 ชั่วโมง', 'พื้นที่เก็บกระเป๋า', 'เสื้อคลุมอาบน้ำ', 'เครื่องปรับอากาศ', 'บริการทำความสะอาด', 'ระเบียงส่วนตัว', 'บริการรูมเซอร์วิส', 'เครื่องชงกาแฟ / ชา', 'ทีวีจอแบน', 'อ่างอาบน้ำ / ฝักบัวอาบน้ำ']","['วิวมหาสมุทร', 'ห้องพักปลอดบุหรี่']",[],"62 ถ. กะตะ, หาดกะตะ, กะรน, จังหวัดภูเก็ต 83100 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,1380
Hotel Clover Patong Phuket,,7.895781,98.29673,"['https://media-cdn.tripadvisor.com/media/photo-s/11/de/24/53/surf-hotel-patong.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/de/24/6f/surf-hotel-patong.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/de/24/32/surf-hotel-patong.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/de/23/a2/surf-hotel-patong.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/de/23/86/surf-hotel-patong.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/de/23/04/blu-bar.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/de/23/94/surf-hotel-patong.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/de/23/ac/surf-hotel-patong.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/de/24/b6/surf-hotel-patong.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/73/60/a3/surf-hotel-patong.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/16/35/8c/44/deluxe-jacuzzi-room.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/99/b6/c4/su.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/de/22/ee/the-shore.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/de/1a/27/surf-hotel-patong.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/99/b2/0c/superior-garden-room.jpg']",,https://th.tripadvisor.com/Hotel_Review-g297930-d13140255-Reviews-Hotel_Clover_Patong_Phuket-Patong_Kathu_Phuket.html,4.0,"['ที่จอดรถฟรี', 'อินเตอร์เน็ตความเร็วสูง (WiFi) ฟรี', 'ฟิตเนสเซนเตอร์พร้อมห้องออกกำลังกาย', 'สระว่ายน้ำ', 'บาร์ / เลานจ์', 'เด็กเข้าพักฟรี', 'บริการรถรับ-ส่งสนามบิน', 'ห้องประชุม', 'ม่านกันแสง', 'เครื่องปรับอากาศ', 'บริการรูมเซอร์วิส', 'ปลอดภัย', 'น้ำบรรจุขวด', 'มินิบาร์', 'ตู้เย็น', 'ทีวีจอแบน']","['ห้องพักปลอดบุหรี่', 'ห้องสวีท']",[],"162/8-11 ถนนทวีวงศ์ Patong Beach, ป่าตอง, กะทู้, จังหวัดภูเก็ต 83150 ไทย",ภูเก็ต,กะทู้,,83,8302,0,5.0,1446
Chanalai Garden Resort,,7.813336,98.29917,"['https://media-cdn.tripadvisor.com/media/photo-s/08/8d/d9/37/chanalai-garden-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/8d/d9/3f/chanalai-garden-resort.jpg', 'https://media-cdn.tripadvisor.com/media/oyster-panos/sources/deluxe-sea-view-room--v44938.tiles/wide_700.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/40/ba/30/chanalai-garden-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/40/b9/94/chanalai-garden-resort.jpg', 'https://media-cdn.tripadvisor.com/media/oyster-panos/sources/superior-room--v44940.tiles/wide_700.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/83/0e/9c/bird-that-frequented.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/8d/d9/58/chanalai-garden-resort.jpg', 'https://media-cdn.tripadvisor.com/media/oyster-panos/sources/pool--v44939.tiles/wide_700.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/8d/d9/9a/chanalai-garden-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/8d/d9/8b/chanalai-garden-resort.jpg', 'https://media-cdn.tripadvisor.com/media/oyster-panos/sources/second-pool--v44942.tiles/wide_700.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/8d/d9/6e/chanalai-garden-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/8d/d9/4b/chanalai-garden-resort.jpg', 'https://media-cdn.tripadvisor.com/media/oyster-panos/sources/restaurant--v44937.tiles/wide_700.jpg']",00 66 76 285 211,https://th.tripadvisor.com/Hotel_Review-g1210687-d308958-Reviews-Chanalai_Garden_Resort-Kata_Beach_Karon_Phuket.html,4.0,"['ที่จอดรถฟรี', 'อินเตอร์เน็ตความเร็วสูง (WiFi) ฟรี', 'ฟิตเนสเซนเตอร์พร้อมห้องออกกำลังกาย', 'สระว่ายน้ำ', 'บาร์ / เลานจ์', 'ชายหาด', 'การดำน้ำ', 'บริการดูแลเด็กเล็ก', 'ม่านกันแสง', 'เครื่องปรับอากาศ', 'บริการทำความสะอาด', 'ระเบียงส่วนตัว', 'บริการรูมเซอร์วิส', 'มินิบาร์', 'ตู้เย็น', 'ทีวีจอแบน']","['วิวมหาสมุทร', 'ห้องพักปลอดบุหรี่', 'ห้องสำหรับครอบครัว', 'มีห้องพักแบบสูบบุหรี่ได้']",[],"247 ถ. กะตะ, หาดกะตะ, กะรน, จังหวัดภูเก็ต 83100 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,4590
"บียอนด์ รีสอร์ท กะรน
Beyond Karon",,7.829528,98.295,"['https://media-cdn.tripadvisor.com/media/photo-s/2d/04/96/40/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/04/ea/5a/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/04/9a/d2/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/04/96/3d/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/04/9a/fd/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/04/ea/5d/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/24/52/6f/96/beyond-resort-karon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/8c/0d/cc/beyond-resort-karon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/a0/7c/b2/pool.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/a1/0b/66/beyond-resort-karon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/a0/7d/23/beach-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/a0/7d/11/beyond-cafe.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/a1/09/4c/beyond-resort-karon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/a0/7c/c7/beach-bar.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/a0/7c/e5/beyond-cafe.jpg']",00 66 76 330 006,https://th.tripadvisor.com/Hotel_Review-g10804710-d535970-Reviews-Beyond_Karon-Karon_Beach_Karon_Phuket.html?spAttributionToken=Mjc4MDU4MTU,4.0,"['ที่จอดรถฟรี', 'อินเทอร์เน็ตฟรี', 'สระว่ายน้ำ', 'บาร์ / เลานจ์', 'ชายหาด', 'การดำน้ำ', 'บริการดูแลเด็กเล็ก', 'บริการรถรับ-ส่งสนามบิน', 'เครื่องปรับอากาศ', 'บริการทำความสะอาด', 'ระเบียงส่วนตัว', 'บริการรูมเซอร์วิส', 'มินิบาร์', 'ตู้เย็น', 'ทีวีจอแบน', 'ไดร์เป่าผม']","['วิวมหาสมุทร', 'ห้องพักปลอดบุหรี่']",[],"51 ถ. กะรน, หาดกะรน, กะรน, จังหวัดภูเก็ต 83100 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,1575
"เจดับบลิว แมริออท ภูเก็ต รีสอร์ท แอนด์ สปา
JW Marriott Phuket Resort & Spa",,8.16589,98.29509,"['https://media-cdn.tripadvisor.com/media/photo-s/07/40/d7/a8/jw-marriott-phuket-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/2c/a9/fc/ocean-front-pool-suite.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0f/b7/ad/67/one-bedroom-oceanfront.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/2c/a9/fd/north-pool.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/44/69/56/one-bedroom-oceanfront.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/2c/a8/50/bathroom.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2c/02/ac/38/aerial-view.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/42/63/0f/reflection-pond.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/42/7e/31/deluxe-garden-terrace.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/44/69/37/one-bedroom-oceanfront.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/44/88/e7/royal-villa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/42/67/bb/deluxe-bathroom.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/44/3a/68/deluxe-family-terrace.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/44/8d/68/royal-villa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/44/60/e5/one-bedroom-oceanfront.jpg']",00 66 76 338 000,https://th.tripadvisor.com/Hotel_Review-g1223683-d519702-Reviews-JW_Marriott_Phuket_Resort_Spa-Mai_Khao_Thalang_District_Phuket.html,5.0,"['ที่จอดรถฟรี', 'Wifi', 'ฟิตเนสเซนเตอร์พร้อมห้องออกกำลังกาย', 'สระว่ายน้ำ', 'บาร์ / เลานจ์', 'ชายหาด', 'บริการให้เช่าจักรยาน', 'เด็กเข้าพักฟรี', 'ห้องพักแบบเก็บเสียง', 'เสื้อคลุมอาบน้ำ', 'เครื่องปรับอากาศ', 'ชายหาดส่วนตัว', 'ห้องน้ำเพิ่มเติม', 'เครื่องชงกาแฟ / ชา', 'เคเบิลทีวี / ทีวีดาวเทียม', 'โถชำระล้าง']","['วิวมหาสมุทร', 'วิวสระว่ายน้ำ', 'ห้องพักปลอดบุหรี่', 'ห้องสวีท', 'ห้องสำหรับครอบครัว']",[],"231 หมู่ 3, ไม้ขาว, จังหวัดภูเก็ต 83110 ไทย",ภูเก็ต,ถลาง,,83,8303,0,4.5,7450
"โรงแรมถาวร บีช วิลเลจ แอนด์ สปา
Thavorn Beach Village Resort & Spa",,7.92636,98.27358,"['https://media-cdn.tripadvisor.com/media/photo-s/1b/1e/7e/2b/aerial-drone-photo-of.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/2f/89/most-romantic-beachfront.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/2a/98/hillside-cable-car-our.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/bc/e4/a2/a-leading-phuket-private.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/32/5b/private-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/2d/cc/beach-front-cottage.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/2f/6e/thavorn-beach-village.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/2d/6e/most-romantic-beachfront.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/2e/70/thavorn-beach-village.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/2c/6c/phuket-beach-weddings.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/2f/b3/chann-wellness-spa-phuket.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/2d/39/thavorn-beach-village.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/2f/41/thavorn-beach-village.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/2f/2f/thavorn-beach-village.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/2d/30/8d/lobby-area.jpg']",,https://th.tripadvisor.com/Hotel_Review-g1379324-d305747-Reviews-Thavorn_Beach_Village_Resort_Spa-Kamala_Kathu_Phuket.html,4.0,"['ที่จอดรถฟรี', 'อินเตอร์เน็ตความเร็วสูง (WiFi) ฟรี', 'ฟิตเนสเซนเตอร์พร้อมห้องออกกำลังกาย', 'สระว่ายน้ำ', 'อาหารเช้าฟรี', 'ชายหาด', 'เรือ', 'เครือข่ายโทรทัศน์สำหรับเด็ก', 'ม่านกันแสง', 'เสื้อคลุมอาบน้ำ', 'เครื่องปรับอากาศ', 'ชายหาดส่วนตัว', 'เครื่องชงกาแฟ / ชา', 'เคเบิลทีวี / ทีวีดาวเทียม', 'โซฟาเบด', 'ห้องอาบน้ำแบบฝักบัว']","['วิวภูเขา', 'วิวมหาสมุทร', 'วิวสถานที่สำคัญ', 'วิวสระว่ายน้ำ', 'ห้องสวีทสำหรับคู่แต่งงาน', 'ห้องพักปลอดบุหรี่', 'ห้องสวีท', 'ห้องสำหรับครอบครัว']",[],"6/2 หมู่ 6 อ่าวนาคาเลย์, กมลา, กะทู้, จังหวัดภูเก็ต 83150 ไทย",ภูเก็ต,กะทู้,,83,8302,0,4.5,4054
"บ้านลายไม้ บีช รีสอร์ท
Baan Laimai Beach Resort & Spa",,7.889817,98.29316,"['https://media-cdn.tripadvisor.com/media/photo-s/11/cf/dc/5a/baan-laimai-beach-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/9e/27/65/baan-laimai-beach-resort.jpg', 'https://media-cdn.tripadvisor.com/media/oyster/500/06/7a/0b/6b/exteriors--v3086828.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/9e/27/37/baan-laimai-beach-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/9e/29/81/deluxe-pool-access-room.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/cf/de/aa/baan-laimai-beach-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/ce/3b/d0/moontree-elemental-spa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/ce/37/08/moontree-elemental-spa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/ce/37/12/moontree-elemental-spa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/ce/3b/cf/moontree-elemental-spa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/cf/dc/24/baan-laimai-beach-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0d/dd/24/8d/pool-bar.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/cf/dc/4b/baan-laimai-beach-resort.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0d/dd/21/71/breakfast-area.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0d/dd/22/79/kid-s-center.jpg']",,https://th.tripadvisor.com/Hotel_Review-g297930-d557954-Reviews-Baan_Laimai_Beach_Resort_Spa-Patong_Kathu_Phuket.html,4.0,"['ที่จอดรถฟรี', 'อินเตอร์เน็ตความเร็วสูง (WiFi) ฟรี', 'ฟิตเนสเซนเตอร์พร้อมห้องออกกำลังกาย', 'สระว่ายน้ำ', 'บาร์ / เลานจ์', 'ชายหาด', 'การขี่ม้า', 'เด็กเข้าพักฟรี', 'ม่านกันแสง', 'เสื้อคลุมอาบน้ำ', 'เครื่องปรับอากาศ', 'บริการทำความสะอาด', 'มีห้องที่มีประตูเชื่อมต่อกัน', 'มินิบาร์', 'ทีวีจอแบน', 'ห้องอาบน้ำแบบฝักบัว']","['วิวมหาสมุทร', 'วิวสระว่ายน้ำ', 'ห้องสวีทสำหรับคู่แต่งงาน', 'ห้องพักปลอดบุหรี่', 'ห้องสำหรับครอบครัว']",[],"66 ถ. ทวีวงศ์, ป่าตอง, กะทู้, จังหวัดภูเก็ต 83150 ไทย",ภูเก็ต,กะทู้,,83,8302,0,4.5,6543
