name,description,latitude,longitude,imgPath,phone,website,openingHour,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
ถนนบางลา,,7.893388,98.29736,"['https://media-cdn.tripadvisor.com/media/photo-s/05/1b/97/47/bangla-road.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/95/65/26/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/95/65/25/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/95/65/24/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/95/65/23/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/71/9c/91/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-o/2d/71/9c/90/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/71/9c/8f/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/71/9c/8e/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/71/9c/8d/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-o/2d/71/9c/8c/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-o/2d/71/9c/8b/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/2d/71/9c/8a/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/71/9c/89/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/71/9c/88/caption.jpg']",,https://th.tripadvisor.com/Attraction_Review-g297930-d1866109-Reviews-Bangla_Road-Patong_Kathu_Phuket.html,{},"Soi Bangla, ป่าตอง, กะทู้, จังหวัดภูเก็ต 83150 ไทย",ภูเก็ต,กะทู้,,83,8302,0,4.0,21016
พระใหญ่เมืองภูเก็ต,,7.827575,98.31284,"['https://media-cdn.tripadvisor.com/media/photo-s/16/a4/d0/06/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/c8/08/fc/big-buddha.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/c8/08/fa/big-buddha.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/44/d3/4c/phuket-big-buddha.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/aa/56/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/aa/55/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/aa/54/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/aa/52/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/aa/51/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/2d/a5/aa/50/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/aa/4f/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/aa/4e/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/aa/4d/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/aa/4c/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/aa/4b/caption.jpg']",,https://th.tripadvisor.com/Attraction_Review-g1389361-d2433844-Reviews-Big_Buddha_Phuket-Chalong_Phuket_Town_Phuket.html,"{'จันทร์': '08:00-18:30', 'อังคาร': '08:00-18:30', 'พุธ': '08:00-18:30', 'พฤหัสบดี': '08:00-18:30', 'ศุกร์': '08:00-18:30', 'เสาร์': '08:00-18:30', 'อาทิตย์': '08:00-18:30'}","ซอยยอดเสน่ห์ 1 ถ.เจ้าฟ้าตะวันตก, ฉลอง, เมืองภูเก็ต, จังหวัดภูเก็ต 83100 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,16870
หาดกะตะ,,7.820073,98.29803,[],,https://th.tripadvisor.com/Attraction_Review-g1210687-d450974-Reviews-Kata_Beach-Kata_Beach_Karon_Phuket.html,{},"ถนนปากบาง, หาดกะตะ, กะรน, จังหวัดภูเก็ต 83100 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.0,8341
Green Elephant Sanctuary Park,,7.978757,98.3094,"['https://media-cdn.tripadvisor.com/media/photo-s/11/b6/0d/68/20180107-111040-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/dd/ae/17/our-freshwater-pool.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/2d/9a/a4/80/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/2d/9a/a4/7f/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/2d/9a/a4/7e/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/6b/1c/98/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/6b/1c/97/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/b6/0d/68/20180107-111040-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/23/18/ed/green-elephant-sanctuary.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/19/c3/9b/b3/photo8jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-w/17/78/ec/f0/amazing-day-here-must.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/a9/8c/81/green-elephant-sanctuary.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/98/9a/d3/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/15/94/68/water-on-us.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/09/57/8d/burst-cover-gif-action.jpg']",,https://th.tripadvisor.com/Attraction_Review-g1224250-d13237105-Reviews-Green_Elephant_Sanctuary_Park-Choeng_Thale_Thalang_District_Phuket.html,"{'จันทร์': '08:00-17:00', 'อังคาร': '08:00-17:00', 'พุธ': '08:00-17:00', 'พฤหัสบดี': '08:00-17:00', 'ศุกร์': '08:00-17:00', 'เสาร์': '08:00-17:00', 'อาทิตย์': '08:00-17:00'}","No. 4 Soi Cherngtalay 1, Road Si Sunthon, เชิงทะเล , จังหวัดภูเก็ต 83110 ไทย",ภูเก็ต,ถลาง,,83,8303,0,5.0,2557
บานาน่า บีช,,7.744772,98.38204,"['https://media-cdn.tripadvisor.com/media/photo-s/18/22/c1/68/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/c0/a5/23/banana-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/c0/a5/14/banana-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/c0/a4/bc/banana-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/c0/a3/ec/banana-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/c0/a3/b2/banana-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-b/768x250/08/c0/a3/79/banana-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/08/c0/a3/7e/banana-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/19/9f/da/d0/20191014-140235-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-m/1280/19/73/8b/1e/banana-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/3e/40/d1/banana-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/18/22/c1/68/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-s/14/f8/b5/42/banana-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-b/768x250/12/03/50/57/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0d/90/53/71/photo0jpg.jpg']",,https://th.tripadvisor.com/Attraction_Review-g1224343-d8550982-Reviews-Banana_Beach-Ko_He_Phuket.html,{},"Coral Island, จังหวัดภูเก็ต 83130 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,2380
หาดป่าตอง,,7.896356,98.29539,"['https://media-cdn.tripadvisor.com/media/photo-s/17/11/63/50/patong.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/ff/8b/7e/big-buddha.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/ff/8b/7d/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/07/fd/0a/a2/jame-bond-island.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/fc/c8/4f/atv.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/fc/b9/e7/jame-bond-island.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/fc/b9/e6/elephent-ridding.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/af/6c/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/af/6b/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/af/6a/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/af/69/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/af/68/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/af/67/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/af/66/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/a5/af/65/caption.jpg']",,https://th.tripadvisor.com/Attraction_Review-g297930-d2454044-Reviews-Patong_Beach-Patong_Kathu_Phuket.html,{},V7WW+G5R ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,3.5,17158
หาดกะรน,,7.85035,98.29211,"['https://media-cdn.tripadvisor.com/media/photo-s/1a/47/e3/54/img-20191212-164919-3.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/bb/0c/6a/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/2d/72/72/49/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/2d/72/72/48/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/2d/72/72/47/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/72/72/4b/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/2d/72/72/46/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/72/72/4a/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/2d/72/72/45/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/00/15/a5/29/from-front-kata-kata.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2b/25/84/5a/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/21/d2/f8/ce/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/ca/0d/77/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/a7/81/5a/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/64/c5/27/caption.jpg']",,https://th.tripadvisor.com/Attraction_Review-g10804710-d450973-Reviews-Karon_Beach-Karon_Beach_Karon_Phuket.html,{},V72R+4RX ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.0,7048
หาดในหาน,,7.776691,98.30537,"['https://media-cdn.tripadvisor.com/media/photo-s/17/48/24/64/img-20190411-110938-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-w/07/b6/c6/26/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/b6/c6/25/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/07/b6/c6/23/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-w/07/b6/c6/22/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/9a/58/e1/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/9a/58/e0/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/9a/58/df/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/05/76/7f/0f/nai-harn-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-o/01/15/38/3f/nai-harn-beach-as-seen.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/21/ed/bb/2f/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/03/72/de/lagoon-panorama-photo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/03/72/c2/panorama-photo-nai-harn.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/67/21/03/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/67/20/d3/caption.jpg']",,https://th.tripadvisor.com/Attraction_Review-g1231757-d553203-Reviews-Nai_Harn_Beach-Nai_Harn_Rawai_Phuket.html,{},Q8G4+M4H ตำบล ราไวย์ อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,4470
จังซีลอน,เปิดประสบการณ์ช้อปปิ้งที่แตกต่าง ตอบสนองทุกไลฟ์สไตล์ด้วยสินค้าแบรนด์ดังกว่า 300 ร้านค้า อิ่มอร่อยกับอาหารหลากรสนานาชาติ สัมผัสกับสุดยอดความบันเทิงครบครัน เพื่อเติมเต็มความสุขในวันพักผ่อนให้คุณและครอบครัว เดินทางสะดวกเพียง 5 นาทีจากหาดป่าตอง,7.892458,98.29863,"['https://media-cdn.tripadvisor.com/media/photo-s/2b/31/a1/6d/the-bay-zone.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2b/85/85/bc/the-garden-is-the-hangout.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2b/85/85/ad/the-garden-zone.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2b/85/85/9a/relax-and-chill-at-the.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2b/85/85/97/love-eat-the-jungle-zone.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/2b/31/ad/2a/shopping-leisure.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2b/31/ad/1e/a-modern-and-spacious.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/2b/31/ad/0f/satisfy-with-food-and.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/12/f3/9d/20/fuel-a-full-day-of-shopping.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/12/f3/9d/19/discover-even-more-choices.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/12/f3/9d/0c/experience-new-gastronomic.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/12/f3/9d/05/indulge-in-a-feast-for.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/70/cb/dd/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-o/2d/70/cb/dc/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/2d/70/cb/db/caption.jpg']",,https://th.tripadvisor.com/Attraction_Review-g297930-d3387563-Reviews-Jungceylon-Patong_Kathu_Phuket.html,"{'จันทร์': '11:00-22:00', 'อังคาร': '11:00-22:00', 'พุธ': '11:00-22:00', 'พฤหัสบดี': '11:00-22:00', 'ศุกร์': '11:00-22:00', 'เสาร์': '11:00-22:00', 'อาทิตย์': '11:00-22:00'}","181 ถนนราษฏร์อุทิศ 200 ปี, ป่าตอง, กะทู้, จังหวัดภูเก็ต 83150 ไทย",ภูเก็ต,กะทู้,,83,8302,0,4.0,7237
หาดไม้ง้าว,,7.875265,98.27582,"['https://media-cdn.tripadvisor.com/media/photo-s/1a/fb/b4/ca/20200221-161652-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0a/a4/a8/21/freedom-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0a/a4/a8/17/freedom-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/12/fe/42/panorama-landscape-freedom.jpg', 'https://media-cdn.tripadvisor.com/media/photo-w/1b/12/fe/25/seaside-panorama-freedom.jpg', 'https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/12/fe/16/panorama-view-freedom.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/fb/b4/ca/20200221-161652-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/c2/4e/dd/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/99/2e/de/the-one-side-of-the-beach.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/53/5e/85/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/4a/0e/ab/img-20191213-100558-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/4a/0e/a9/img-20191213-100803-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/11/be/36/20191110-152415-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-p/19/84/c3/3b/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/19/84/c3/3a/photo3jpg.jpg']",,https://th.tripadvisor.com/Attraction_Review-g297930-d778266-Reviews-Freedom_Beach-Patong_Kathu_Phuket.html,{},V7GG+484 ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,3799
