name,type,description,latitude,longitude,imgPath,phone,website,openingHour,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount,Tourism,Adventure,Meditation,Art,Cultural,Landscape,Nature,Historical,Cityscape,Beach,Mountain,Architecture,Temple,WalkingStreet,Market,Village,NationalPark,Diving,Snuggle,Waterfall,Island,Shopping,Camping,Fog,Cycling,Monument,Zoo,Waterpark,Hiking,Museum,Riverside,NightLife,Family,Kid,Landmark,Forest
New York Bar,['บาร์/คลับ'],,7.893425,98.29723,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/4d/c5/ab/bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/fd/08/0e/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/fd/08/0d/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/4d/c5/ab/bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/4d/c5/ac/stage.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/34/b6/5b/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/34/b6/5a/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/34/b6/59/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/34/b6/58/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/c2/7c/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/9d/38/05/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/9d/38/04/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/bf/da/47/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/9e/04/ea/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/9e/04/e9/caption.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297930-d7395146-Reviews-New_York_Bar-Patong_Kathu_Phuket.html,{},V7VW+9VH ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,4.5,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barfunk Phuket,['บาร์/คลับ'],,7.893728,98.29634,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/c8/d9/75/it-s-about-to-be-another.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/c8/d9/75/it-s-about-to-be-another.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/f7/0b/65/we-can-t-wait-to-have.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/f7/0b/04/we-can-t-wait-to-have.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/f7/0a/be/we-can-t-wait-to-have.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/f7/0a/67/we-can-t-wait-to-have.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/f7/0a/26/we-can-t-wait-to-have.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/f7/0a/09/we-can-t-wait-to-have.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/f7/09/ed/we-can-t-wait-to-have.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/e7/fc/2c/no-one-does-it-like-we.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/e7/fc/26/no-one-does-it-like-we.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/e7/fc/1f/no-one-does-it-like-we.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/e7/fc/1d/barfunkphuket-is-the.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/e7/fc/1a/barfunkphuket-is-the.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/e7/fc/17/barfunkphuket-is-the.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297930-d6919462-Reviews-Barfunk_Phuket-Patong_Kathu_Phuket.html,"{'จันทร์': '10:00-04:00', 'อังคาร': '10:00-04:00', 'พุธ': '10:00-04:00', 'พฤหัสบดี': '10:00-04:00', 'ศุกร์': '10:00-04:00', 'เสาร์': '10:00-04:00', 'อาทิตย์': '10:00-04:00'}",V7VW+FGW ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,4.5,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aussie Bar,['บาร์/คลับ'],,7.893768,98.296234,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/38/ee/f2/enterance-to-aussie-bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/41/84/71/photo3jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/c6/4a/de/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/96/62/0e/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/96/61/af/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/34/c9/45/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/fc/0d/ad/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/fc/0d/ac/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/ed/12/e4/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/ed/12/e3/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a2/2a/28/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a2/2a/27/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a2/2a/26/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a2/2a/25/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/f4/e2/87/caption.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297930-d6725743-Reviews-Aussie_Bar-Patong_Kathu_Phuket.html,{},V7VW+GF5 ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,4.0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สู้ตาย มวยไทย ภูเก็ต,[],,7.988081,98.315094,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/44/86/fb/private-training-for.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/44/86/fb/private-training-for.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/35/56/privat-training.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/35/52/privat-training.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/35/50/privat-training.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/35/4d/privat-training.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/35/4b/privat-training.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/35/43/privat-training.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/35/38/privat-training.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/35/37/lass-training.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/34/7a/lass-training.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/57/71/28/lass-workout-kids-bjj.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/57/71/1e/lass-workout-kids-bjj.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/57/71/09/lass-workout-kids-bjj.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/57/70/f2/lass-workout-kids-bjj.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1224250-d10687099-Reviews-Sutai_Muay_Thai_Phuket-Choeng_Thale_Thalang_District_Phuket.html,"{'จันทร์': '06:30-20:00', 'อังคาร': '06:30-20:00', 'พุธ': '06:30-20:00', 'พฤหัสบดี': '06:30-20:00', 'ศุกร์': '06:30-20:00', 'เสาร์': '06:30-20:00', 'อาทิตย์': '08:00-20:00'}",X8Q8+62Q ตำบลเชิงทะเล อำเภอถลาง ภูเก็ต,ภูเก็ต,ถลาง,,83,8303,0,5.0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craft Beer Lounge,['บาร์/คลับ'],,7.888339,98.296555,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/89/d0/79/craft-beer-lounge.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/e3/48/50/craft-bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/3e/e0/london-summer-crafty.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/3e/2f/hola-hola-crafty-gins.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/3c/6c/green-mantis-crafty-gins.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/3b/c3/ginger-co-crafty-gins.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/3b/28/blueberry-daisy-crafty.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/39/a0/bee-sting-crafty-gins.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/35/1b/dibuk-cola-crafty-gins.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/1d/fb/negroni-by-the-sea-crafty.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/11/ee/tea-thyme-by-crafty-gins.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/07/6a/red-hot-cooler-by-crafty.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/06/4e/shade-of-roses-by-crafty.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/05/a0/the-classic-negroni-by.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/2a/03/78/crafty-gins-menu-available.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297930-d6950369-Reviews-Craft_Beer_Lounge-Patong_Kathu_Phuket.html,"{'จันทร์': '10:00-00:00', 'อังคาร': '10:00-00:00', 'พุธ': '10:00-00:00', 'พฤหัสบดี': '10:00-00:00', 'ศุกร์': '10:00-00:00', 'เสาร์': '10:00-00:00', 'อาทิตย์': '10:00-00:00'}",V7QW+8JM ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fitness Hero Sports Club,"['ฟิตเนส/สโมสรสุขภาพและห้องออกกำลังกาย', 'โยคะและพีลาทิส']",,7.892459,98.294914,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/e1/9c/47/life-fitness.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/09/35/98/hammer-strength.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/09/35/4f/hammer-strength.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/09/35/34/hammer-strength.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/09/35/08/cardio-area-life-fitness.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/09/34/c2/group-class-room.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/09/33/de/healthy-restaurant.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/09/33/21/hammer-strength.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/09/32/f7/hammer-strength.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/09/32/d8/supplement-shop-and-merchandis.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/70/25/ground-floor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/70/16/ground-floor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/70/11/first-floor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/70/03/ground-floor.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/6f/f9/ground-floor.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297930-d15667809-Reviews-Fitness_Hero_Sports_Club-Patong_Kathu_Phuket.html,"{'จันทร์': '06:00-00:00', 'อังคาร': '06:00-00:00', 'พุธ': '06:00-00:00', 'พฤหัสบดี': '06:00-00:00', 'ศุกร์': '06:00-00:00', 'เสาร์': '06:00-00:00', 'อาทิตย์': '06:00-00:00'}",V7RV+XXM ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mojito With Love Kata Beach,['บาร์/คลับ'],,7.825644,98.29668,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/1b/e5/61/the-best-place-to-chill.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/13/20/26/menu.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/13/1f/ae/xl-or-s-you-decide.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/1b/e5/a8/a-classic-xl-mojito.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/1b/e5/8f/our-little-bar-with-love.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/54/ed/48/mojito-with-love-kata.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/19/6d/1d/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/19/6d/1c/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/19/6d/1a/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a3/37/61/ta-img-20200118-231931.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a3/37/5f/ta-img-20200118-231906.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7e/94/5c/mojito-with-love-kata.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/39/39/3a/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/1f/10/db/ta-img-20191124-223317.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/04/03/96/photo2jpg.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1210687-d10771828-Reviews-Mojito_With_Love_Kata_Beach-Kata_Beach_Karon_Phuket.html,"{'จันทร์': 'ปิด', 'อังคาร': '18:00-00:00', 'พุธ': '18:00-00:00', 'พฤหัสบดี': '18:00-00:00', 'ศุกร์': '18:00-00:00', 'เสาร์': '18:00-00:00', 'อาทิตย์': '18:00-00:00'}",R7GW+7M3 ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heroes Bar,['บาร์/คลับ'],,7.893607,98.29659,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/35/34/7c/best-bar-ever.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/1a/78/c1/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/1a/78/bf/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/1a/78/be/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/35/34/7c/best-bar-ever.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/db/6b/ec/heroes-by-day.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/30/80/a0/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/80/18/f4/img20220829203001-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/80/18/f3/img-20220830-192317-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/80/18/f2/img-20220830-192650-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/cc/08/44/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/cc/08/43/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/cc/08/42/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/cc/08/41/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/22/4b/f6/mmmmmmmm.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297930-d7168303-Reviews-Heroes_Bar-Patong_Kathu_Phuket.html,{},V7VW+CJW ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,4.5,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ออสซี่ ไดเวอส์ ภูเก็ต,['การดำน้ำลึกและการดำน้ำตื้น'],,7.881534,98.29925,[''],,https://th.tripadvisor.com/Attraction_Review-g297930-d3668150-Reviews-Aussie_Divers_Phuket-Patong_Kathu_Phuket.html,"{'จันทร์': '07:00-19:00', 'อังคาร': '07:00-19:00', 'พุธ': '07:00-19:00', 'พฤหัสบดี': '07:00-19:00', 'ศุกร์': '07:00-19:00', 'เสาร์': '07:00-19:00', 'อาทิตย์': '07:00-19:00'}",V7JX+JP6 ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,3102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ฟรายอิ้ง หนุมาน,['สวนสนุกโหนสลิงและผจญภัยในอากาศ'],,7.924537,98.32287,[''],,https://th.tripadvisor.com/Attraction_Review-g297931-d2550193-Reviews-Flying_Hanuman-Kathu_Phuket.html,"{'จันทร์': '08:00-17:00', 'อังคาร': '08:00-17:00', 'พุธ': '08:00-17:00', 'พฤหัสบดี': '08:00-17:00', 'ศุกร์': '08:00-17:00', 'เสาร์': '08:00-17:00', 'อาทิตย์': '08:00-17:00'}",W8FF+R49 ตำบล กะทู้ อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,3218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
