,Unnamed: 0,name,type,description,latitude,longitude,imgPath,phone,website,openingHour,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount,Tourism,Adventure,Meditation,Art,Cultural,Landscape,Nature,Historical,Cityscape,Beach,Mountain,Architecture,Temple,WalkingStreet,Market,Village,NationalPark,Diving,Snuggle,Waterfall,Island,Shopping,Camping,Fog,Cycling,Monument,Zoo,Waterpark,Hiking,Museum,Riverside,NightLife,Family,Kid,Landmark,Forest
0,0,เลิฟ ไดวิ่ง ภูเก็ต,['การดำน้ำลึกและการดำน้ำตื้น'],,7.893529,98.297264,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/f1/9c/cc/love-diving-phuket.jpg?w=1200&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/63/39/d3/love-diving-phuket.jpg?w=800&h=600&s=1']",,https://th.tripadvisor.com/Attraction_Review-g297930-d2552783-Reviews-Love_Diving_Phuket-Patong_Kathu_Phuket.html,"{'จันทร์': '12:00-21:00', 'อังคาร': '12:00-21:00', 'พุธ': '12:00-21:00', 'พฤหัสบดี': '12:00-21:00', 'ศุกร์': '12:00-21:00', 'เสาร์': '12:00-21:00', 'อาทิตย์': '12:00-21:00'}",V7VW+CW6 ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต,ภูเก็ต,กะทู้,,83,8302,0,5.0,1245,1.0,0.8,0.0,0.0,0.0,0.2,0.9,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0
1,1,Andaman Sea Kayaks,['การพายเรือคายัคและการพายเรือแคนู'],,7.88866,98.38002,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ad/16/8b/andaman-sea-kayaks.jpg?w=1100&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/10/66/bd/andaman-sea-kayaks.jpg?w=1200&h=900&s=1']",,https://th.tripadvisor.com/Attraction_Review-g293920-d1099123-Reviews-Andaman_Sea_Kayaks-Phuket.html,"{'จันทร์': '08:00-20:00', 'อังคาร': '08:00-20:00', 'พุธ': '08:00-20:00', 'พฤหัสบดี': '08:00-20:00', 'ศุกร์': '08:00-20:00', 'เสาร์': '08:00-20:00', 'อาทิตย์': '08:00-20:00'}",V9QJ+F26 ตำบล วิชิต อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,509,0.9,0.8,0.1,0.0,0.1,0.7,0.9,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.2,0.0,0.7,0.5,0.2,0.1
2,2,The Junk Liveaboards,['การดำน้ำลึกและการดำน้ำตื้น'],,7.859957,98.35296,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/6d/39/16/the-junk-was-the-experience.jpg?w=1200&h=900&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/4c/fa/19/caption.jpg?w=1200&h=900&s=1']",,https://th.tripadvisor.com/Attraction_Review-g23673126-d7058844-Reviews-The_Junk_Liveaboards-Chalong_Phuket.html,"{'จันทร์': '09:00-17:00', 'อังคาร': '09:00-17:00', 'พุธ': '09:00-17:00', 'พฤหัสบดี': '09:00-17:00', 'ศุกร์': '09:00-17:00', 'เสาร์': '09:00-17:00', 'อาทิตย์': 'ปิด'}",V953+X5P ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,400,0.9,0.8,0.1,0.1,0.2,0.7,0.8,0.2,0.1,0.5,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.9,0.3,0.2,0.8,0.1,0.1,0.1,0.1,0.1,0,0,0.2,0.1,0.2,0.2,0.5,0.4,0.2,0.2
3,3,ACDC Diving,['การดำน้ำลึกและการดำน้ำตื้น'],,7.840755,98.34509,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/58/bb/40/getlstd-property-photo.jpg?w=1000&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/ea/39/e3/wreck-diving-phuket.jpg?w=1200&h=900&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1215781-d12855611-Reviews-ACDC_Diving-Phuket_Town_Phuket.html,"{'จันทร์': '08:00-21:00', 'อังคาร': '08:00-21:00', 'พุธ': '08:00-21:00', 'พฤหัสบดี': '08:00-21:00', 'ศุกร์': '08:00-21:00', 'เสาร์': '08:00-21:00', 'อาทิตย์': '08:00-21:00'}",R8RW+824 ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,546,0.9,0.9,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0
4,4,พาราไดส์ ไดวิ่ง เอเซีย,['การดำน้ำลึกและการดำน้ำตื้น'],,8.087546,98.29767,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/b9/45/5d/paradise-diving-asia.jpg?w=1200&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/08/b7/78/loads-of-fun-for-kids.jpg?w=1200&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1215773-d3484633-Reviews-Paradise_Diving_Asia-Nai_Yang_Sakhu_Thalang_District_Phuket.html,"{'จันทร์': '10:00-16:00', 'อังคาร': '10:00-16:00', 'พุธ': '10:00-16:00', 'พฤหัสบดี': '10:00-16:00', 'ศุกร์': '10:00-16:00', 'เสาร์': '10:00-16:00', 'อาทิตย์': '10:00-16:00'}",37QX+237 ตำบลสาคู อำเภอถลาง ภูเก็ต,ภูเก็ต,ถลาง,,83,8303,0,5.0,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,ซันไรซ์ ไดเวอส์,"['การดำน้ำลึกและการดำน้ำตื้น', 'กีฬาทางน้ำ']",,7.834919,98.298004,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/db/c9/08/beautiful-dive.jpg?w=1200&h=900&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/e6/ac/a2/sunrise-divers.jpg?w=1100&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1215780-d1849080-Reviews-Sunrise_Divers-Karon_Phuket.html,"{'จันทร์': '09:00-17:00', 'อังคาร': '09:00-17:00', 'พุธ': '09:00-17:00', 'พฤหัสบดี': '09:00-17:00', 'ศุกร์': '09:00-17:00', 'เสาร์': '10:00-17:00', 'อาทิตย์': '10:00-17:00'}",R7MX+X66 ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,Talay Surf School,"['การดำน้ำลึกและการดำน้ำตื้น', 'การเล่นกระดานโต้คลื่น การเล่นวินด์เซิร์ฟ และการเล่นไคท์เซิร์ฟ', 'เล่นแพดเดิลบอร์ดแบบยืน']",,7.989077,98.28929,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/75/03/ab/skyla-s-surf-sup-club.jpg?w=500&h=400&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-s/03/23/93/51/skyla-s-surf-sup-club.jpg?w=600&h=500&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1224250-d3638827-Reviews-Talay_Surf_School-Choeng_Thale_Thalang_District_Phuket.html,"{'จันทร์': '08:00-18:00', 'อังคาร': '08:00-18:00', 'พุธ': '08:00-18:00', 'พฤหัสบดี': '08:00-18:00', 'ศุกร์': '08:00-18:00', 'เสาร์': '08:00-18:00', 'อาทิตย์': '08:00-18:00'}",X7QQ+JPM ตำบลเชิงทะเล อำเภอถลาง ภูเก็ต,ภูเก็ต,ถลาง,,83,8303,0,5.0,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,โน กราวิตี้ ไดว์ เซนเตอร์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.823232,98.33916,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/97/bc/c7/no-gravity-dive-center.jpg?w=1100&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/97/bc/d5/no-gravity-dive-center.jpg?w=1100&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1389361-d4052430-Reviews-No_Gravity_Dive_Center-Chalong_Phuket_Town_Phuket.html,"{'จันทร์': '08:00-19:00', 'อังคาร': '08:00-19:00', 'พุธ': '08:00-19:00', 'พฤหัสบดี': '08:00-19:00', 'ศุกร์': '08:00-19:00', 'เสาร์': '08:00-19:00', 'อาทิตย์': '08:00-19:00'}",R8FQ+7MV ตำบล ฉลอง อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,ซีฟัน ไดเวอร์ เดย์ทริปส์,['การดำน้ำลึกและการดำน้ำตื้น'],,7.805619,98.299835,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b6/05/d3/scuba-diving-kata-beach.jpg?w=800&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b6/05/c3/scuba-diving-kata-beach.jpg?w=800&h=-1&s=1']",,https://th.tripadvisor.com/Attraction_Review-g1210687-d2210467-Reviews-Sea_Fun_Divers_Day_Trips-Kata_Beach_Karon_Phuket.html,"{'จันทร์': '09:00-18:00', 'อังคาร': '09:00-18:00', 'พุธ': '09:00-18:00', 'พฤหัสบดี': '09:00-18:00', 'ศุกร์': '09:00-18:00', 'เสาร์': '09:00-18:00', 'อาทิตย์': '09:00-18:00'}",R74X+6WW ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,อเมริกัน ไดฟ์เวอร์ ภูเก็ต,['การดำน้ำลึกและการดำน้ำตื้น'],,7.829103,98.295586,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/34/21/37/siam-aquatic-adventures.jpg?w=1200&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/a1/ac/80/beautiful-koh-ha-off.jpg?w=800&h=600&s=1']",,https://th.tripadvisor.com/Attraction_Review-g10804710-d4048731-Reviews-American_Divers_Phuket-Karon_Beach_Karon_Phuket.html,"{'จันทร์': '09:00-23:00', 'อังคาร': '09:00-23:00', 'พุธ': '09:00-23:00', 'พฤหัสบดี': '09:00-23:00', 'ศุกร์': '09:00-23:00', 'เสาร์': '09:00-23:00', 'อาทิตย์': '09:00-23:00'}",R7HW+J6W ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต,ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
