ISO_3166_code,province_th,province_en,zip_code,district_th,district_en,geo_code,subDistrict_th,subDistrict_en
81,กระบี่,Krabi,8103,เกาะลันตา,Ko Lanta,810303,เกาะกลาง,Ko Klang
81,กระบี่,Krabi,8103,เกาะลันตา,Ko Lanta,810302,เกาะลันตาน้อย,Ko Lanta Noi
81,กระบี่,Krabi,8103,เกาะลันตา,Ko Lanta,810301,เกาะลันตาใหญ่,Ko Lanta Yai
81,กระบี่,Krabi,8103,เกาะลันตา,Ko Lanta,810304,คลองยาง,Khlong Yang
81,กระบี่,Krabi,8103,เกาะลันตา,Ko Lanta,810305,ศาลาด่าน,Sala Dan
81,กระบี่,Krabi,8102,เขาพนม,Khao Phanom,810202,เขาดิน,Khao Din
81,กระบี่,Krabi,8102,เขาพนม,Khao Phanom,810201,เขาพนม,Khao Phanom
81,กระบี่,Krabi,8102,เขาพนม,Khao Phanom,810206,โคกหาร,Khok Han
81,กระบี่,Krabi,8102,เขาพนม,Khao Phanom,810204,พรุเตียว,Phru Tiao
81,กระบี่,Krabi,8102,เขาพนม,Khao Phanom,810203,สินปุน,Sin Pun
81,กระบี่,Krabi,8102,เขาพนม,Khao Phanom,810205,หน้าเขา,Na Khao
81,กระบี่,Krabi,8104,คลองท่อม,Khlong Thom,810401,คลองท่อมใต้,Khlong Thom Tai
81,กระบี่,Krabi,8104,คลองท่อม,Khlong Thom,810402,คลองท่อมเหนือ,Khlong Thom Nuea
81,กระบี่,Krabi,8104,คลองท่อม,Khlong Thom,810403,คลองพน,Khlong Phon
81,กระบี่,Krabi,8104,คลองท่อม,Khlong Thom,810404,ทรายขาว,Sai Khao
81,กระบี่,Krabi,8104,คลองท่อม,Khlong Thom,810406,พรุดินนา,Phru Din Na
81,กระบี่,Krabi,8104,คลองท่อม,Khlong Thom,810407,เพหลา,Phela
81,กระบี่,Krabi,8104,คลองท่อม,Khlong Thom,810405,ห้วยน้ำขาว,Huai Nam Khao
81,กระบี่,Krabi,8106,ปลายพระยา,Plai Phraya,810602,เขาเขน,Khao Khen
81,กระบี่,Krabi,8106,ปลายพระยา,Plai Phraya,810603,เขาต่อ,Khao To
81,กระบี่,Krabi,8106,ปลายพระยา,Plai Phraya,810604,คีรีวง,Khiri Wong
81,กระบี่,Krabi,8106,ปลายพระยา,Plai Phraya,810601,ปลายพระยา,Plai Phraya
81,กระบี่,Krabi,8101,เมืองกระบี่,Mueang Krabi,810103,กระบี่น้อย,Krabi Noi
81,กระบี่,Krabi,8101,เมืองกระบี่,Mueang Krabi,810102,กระบี่ใหญ่,Krabi Yai
