name,sub_name,wongnai_url,restaurantType,facility,description,imgPath,phone,website,openingHour,priceRange,latitude,longitude,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
Pizza Hut,มุกดาหาร,https://www.wongnai.com/restaurants/1658993FW-pizza-hut-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3,"['พิซซ่า', 'ฟาสต์ฟู้ด/จานด่วน']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
มหาศาล,มหาศาล,https://www.wongnai.com/restaurants/1687503ln-%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A8%E0%B8%B2%E0%B8%A5-%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A8%E0%B8%B2%E0%B8%A5?_st=cD0xO2I9MTY4NzUwMzthZD1mYWxzZTt0PTE3Mjc0MzgzOTgxMjk7cmk9MVg3YjZiejFoR3RKaDNPM1VwRUE1RkpydnlDQmY4O2k9MVg3MFp2a2NGcWk4d0VXRUpPeUd4UE1ZS2xNb2tiO3dyZWY9c3I7,['อาหารอีสาน/ร้านส้มตำ'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
The Diary Cafe and Bistro,-,https://www.wongnai.com/restaurants/1327831Vy-the-diary-cafe-and-bistro?_st=cD0yO2I9MTMyNzgzMTthZD1mYWxzZTt0PTE3Mjc0MzgzOTgxMzk7cmk9MVg3YjZiejFpbXZBR2N3VVIwclRidnNFV0dCZzdjO2k9MVg3MFp2a2NGcWk4d0VXRUpPeUd4UE1ZS2xNb2tiO3dyZWY9c3I7,['คาเฟ่'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
บ้านลาวญวน ณ ริมโขง,,https://www.wongnai.com/restaurants/199369cH-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%A5%E0%B8%B2%E0%B8%A7%E0%B8%8D%E0%B8%A7%E0%B8%99-%E0%B8%93-%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B9%82%E0%B8%82%E0%B8%87?_st=cD0zO2I9MTk5MzY5O2FkPWZhbHNlO3Q9MTcyNzQzODM5ODE0MDtyaT0xWDdiNmJ6MWc0OHNuUXJ2MjZDenZTSDlKZ3dmNmI7aT0xWDcwWnZrY0ZxaTh3RVdFSk95R3hQTVlLbE1va2I7d3JlZj1zcjs%3D,"['อาหารอีสาน/ร้านส้มตำ', 'อาหารเวียดนาม', 'อาหารคลีน/สลัด']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ศิริชัยหมูหัน,แก่งกะเบา,https://www.wongnai.com/restaurants/128652tV-%E0%B8%A8%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%AB%E0%B8%B1%E0%B8%99-%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%87%E0%B8%81%E0%B8%B0%E0%B9%80%E0%B8%9A%E0%B8%B2?_st=cD00O2I9MTI4NjUyO2FkPWZhbHNlO3Q9MTcyNzQzODM5ODE0MTtyaT0xWDdiNmJ6MWUzUjllZmp6d1FjMzZkN0VMNVRNbDY7aT0xWDcwWnZrY0ZxaTh3RVdFSk95R3hQTVlLbE1va2I7d3JlZj1zcjs%3D,"['อาหารอีสาน/ร้านส้มตำ', 'อาหารไทย', 'ร้านริมน้ำ']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
วีที แหนมเนือง,มุกดาหาร,https://www.wongnai.com/restaurants/787686Qd-%E0%B8%A7%E0%B8%B5%E0%B8%97%E0%B8%B5-%E0%B9%81%E0%B8%AB%E0%B8%99%E0%B8%A1%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B8%AD%E0%B8%87-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3?_st=cD01O2I9Nzg3Njg2O2FkPWZhbHNlO3Q9MTcyNzQzODM5ODE0MjtyaT0xWDdiNmJ6MWYzWENzVkpzbXNoM3VuY0NTdnVacTI7aT0xWDcwWnZrY0ZxaTh3RVdFSk95R3hQTVlLbE1va2I7d3JlZj1zcjs%3D,['อาหารเวียดนาม'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ดา ข้าวต้มปลา (ชลบุรี) มุกดาหาร,,https://www.wongnai.com/restaurants/233149fy-%E0%B8%94%E0%B8%B2-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%9B%E0%B8%A5%E0%B8%B2-%E0%B8%8A%E0%B8%A5%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3?_st=cD02O2I9MjMzMTQ5O2FkPWZhbHNlO3Q9MTcyNzQzODM5ODE0NDtyaT0xWDdiNmJ6MWxGZExzbldGQVBZZ2pBdzdpREdnakc7aT0xWDcwWnZrY0ZxaTh3RVdFSk95R3hQTVlLbE1va2I7d3JlZj1zcjs%3D,"['อาหารไทย', 'อาหารทะเล', 'ก๋วยเตี๋ยว']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
"โรตีบังแอ๊ด ชาชัก ,ครัวบังแอ๊ด (ข้างที่ว่าการอำเภอ)",,https://www.wongnai.com/restaurants/830245nT-%E0%B9%82%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%9A%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%AD%E0%B9%8A%E0%B8%94-%E0%B8%8A%E0%B8%B2%E0%B8%8A%E0%B8%B1%E0%B8%81-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%9A%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%AD%E0%B9%8A%E0%B8%94-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AD%E0%B8%B3%E0%B9%80%E0%B8%A0%E0%B8%AD?_st=cD03O2I9ODMwMjQ1O2FkPWZhbHNlO3Q9MTcyNzQzODM5ODE0NDtyaT0xWDdiNmJ6MWdaSm90ZUZ0eVZocG5lY3hBZHBpaDA7aT0xWDcwWnZrY0ZxaTh3RVdFSk95R3hQTVlLbE1va2I7d3JlZj1zcjs%3D,"['ของหวาน', 'อาหารมุสลิม/ฮาลาล']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
วิรินทร์ แจ่วฮ้อน,,https://www.wongnai.com/restaurants/24219ma-%E0%B8%A7%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C-%E0%B9%81%E0%B8%88%E0%B9%88%E0%B8%A7%E0%B8%AE%E0%B9%89%E0%B8%AD%E0%B8%99?_st=cD04O2I9MjQyMTk7YWQ9ZmFsc2U7dD0xNzI3NDM4Mzk4MTQ1O3JpPTFYN2I2Ynoxam10emJUOFlYb0JnMlpTdEhBQ0FNQjtpPTFYNzBadmtjRnFpOHdFV0VKT3lHeFBNWUtsTW9rYjt3cmVmPXNyOw%3D%3D,"['อาหารอีสาน/ร้านส้มตำ', 'อาหารเวียดนาม']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ขนมถ้วย ขนมเหนียว หน้าสถานีตำรวจ,,https://www.wongnai.com/restaurants/2217647wq-%E0%B8%82%E0%B8%99%E0%B8%A1%E0%B8%96%E0%B9%89%E0%B8%A7%E0%B8%A2-%E0%B8%82%E0%B8%99%E0%B8%A1%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B5%E0%B8%A2%E0%B8%A7-%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B8%B5%E0%B8%95%E0%B8%B3%E0%B8%A3%E0%B8%A7%E0%B8%88?_st=cD05O2I9MjIxNzY0NzthZD1mYWxzZTt0PTE3Mjc0MzgzOTgxNDU7cmk9MVg3YjZiejFnRlVQeXVNZ1ZjTTBZZ2hHZElvU1c3O2k9MVg3MFp2a2NGcWk4d0VXRUpPeUd4UE1ZS2xNb2tiO3dyZWY9c3I7,['อาหารเวียดนาม'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
