name,description,priceRange,latitude,longitude,imgPath,phone,website,openingHour,facility,type,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
ชนิสรา เรสเตอรองท์ - ไทย์ แอนด์ รัสเซียน ฟู๊ด,,,7.81777,98.3012,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/1e/ac/15/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/62/32/48/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/62/32/37/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/62/32/29/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/1e/ab/77/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/1e/ab/35/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/44/83/e8/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/44/83/e7/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/44/83/e6/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/44/83/e4/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/44/83/e2/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/44/83/e0/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/44/83/df/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/44/83/de/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/44/83/dd/caption.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Restaurant_Review-g1215781-d12690557-Reviews-Chanisara_Restaurant_Thai_Russian_Food-Phuket_Town_Phuket.html,{},[],"['อาหารรัสเซีย', 'อาหารไทย']","48/5 ซ.คาซ่าเดลโซ่ ถ.กะตะ ต.กะรน, เมืองภูเก็ต, จังหวัดภูเก็ต 83100 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4,6
ร้านพิเศษ,,"฿99.00 – ฿1,004.00",7.888149,98.38673,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/1f/3d/38/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/1f/48/4a/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/1f/3d/2f/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/1f/5c/f1/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/1f/5c/f2/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/1f/5c/20/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/1f/48/3d/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/1f/5c/23/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/bf/23/b6/phuket-pineapple-spicy.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/bf/1d/c8/stir-fried-crab-meat.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/76/8c/df/grilled-enokitake-noodle.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/bf/73/b5/seafood-tom-yum-noodle.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/bf/20/01/shrimp-wonton-noodle.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/bf/1b/42/deep-fried-chicken-with.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/bf/23/64/cocoa-frappe.jpg?w=500&h=-1&s=1']",+66 97 352 5388,https://th.tripadvisor.com/Restaurant_Review-g2315817-d12852621-Reviews-Piset_Restaurant_Phuket-Talat_Nuea_Phuket_Town_Phuket.html,"{'จันทร์': '11:00-20:30', 'อังคาร': '11:00-20:30', 'พุธ': '11:00-20:30', 'พฤหัสบดี': '11:00-20:30', 'ศุกร์': '11:00-20:30', 'เสาร์': '11:00-20:30', 'อาทิตย์': '11:00-20:30'}","['Visa', 'Wifi ฟรี', 'การจอง', 'ซื้อกลับบ้าน', 'ที่นั่ง', 'บริการส่ง', 'บริการเสิร์ฟถึงโต๊ะ', 'มีที่จอดรถ', 'มีเก้าอี้สูงสำหรับเด็ก', 'รับบัตรเครดิต', 'ร้านอาหารปลอดบุหรี่', 'สะดวกสำหรับผู้ใช้รถเข็น', 'แบบครอบครัว']","['อาหารคลีน/สลัด', 'อาหารทะเล', 'อาหารไทย']","231/3 ถนนเยาวราช, ตลาดเหนือ, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,195
Tempo Restaurant - Lounge - KTV,,,7.82743,98.34394,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/c9/41/d6/white-snapper.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/c9/41/d5/xl-breakfast-burger.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/c9/41/d4/lemon-chicken.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/c9/41/d3/mustard-chicken.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/c9/41/d2/red-duck-curry.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/c9/41/d1/khao-soi.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/0c/b5/0c/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/0c/b3/b8/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/0c/b3/b7/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/0c/b3/b6/caption.jpg?w=500&h=-1&s=1']",+66 62 726 1098,https://th.tripadvisor.com/Restaurant_Review-g1389361-d27715474-Reviews-Tempo_Restaurant_Lounge_KTV-Chalong_Phuket_Town_Phuket.html,"{'จันทร์': '15:00-00:00', 'อังคาร': 'ปิด', 'พุธ': '15:00-23:00', 'พฤหัสบดี': '15:00-00:00', 'ศุกร์': '15:00-23:00', 'เสาร์': '15:00-23:00', 'อาทิตย์': '15:00-23:00'}","['Visa', 'Wifi ฟรี', 'การจอง', 'การรับประทานอาหารแบบส่วนตัว', 'ซื้อกลับบ้าน', 'ดนตรีสด', 'ที่จอดรถริมถนน', 'ที่จอดรถริมทางฟรี', 'ที่นั่ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'มีที่จอดรถ', 'มีเก้าอี้สูงสำหรับเด็ก', 'รับบัตรเครดิต', 'ร้านอาหารปลอดบุหรี่', 'สะดวกสำหรับผู้ใช้รถเข็น', 'แบบครอบครัว', 'ไวน์และเบียร์']","['อาหารนานาชาติ', 'อาหารฟิวชั่น', 'อาหารไทย']","9/46 E Chaofah Rd, ฉลอง, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5,0
ก๋วยเตี๋ยวต้มยำกุ้งมะนาวไข่หวาน,,,7.90677,98.37277,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/6c/10/7b/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/4e/ca/bd/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/56/73/3a/photo4jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/56/73/37/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/56/73/36/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/56/73/38/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/6c/0f/f0/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/56/73/39/photo3jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/b8/04/ec/tom-yum-koong-noodle.jpg?w=500&h=-1&s=1']",+66 87 186 4780,https://th.tripadvisor.com/Restaurant_Review-g1215781-d10267252-Reviews-Tom_Yum_Koong_Noodle_and_Sweet_Egg-Phuket_Town_Phuket.html,{},['บริการเสิร์ฟถึงโต๊ะ'],['อาหารไทย'],"ถนนเยาวราช, เมืองภูเก็ต, จังหวัดภูเก็ต ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,17
La Sirena,,,7.986444,98.42198,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/49/06/9b/la-sirena.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/14/9d/8e/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/14/9d/8f/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/2b/a4/78/photo7jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/46/14/a1/photo5jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/46/14/a4/photo8jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/46/14/a5/photo9jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/2b/a4/71/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/c7/ca/5f/thai-bacon-with-sticky.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/2b/a4/70/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/70/5d/35/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/c7/ca/63/thai-desserts.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/2b/a4/72/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/46/14/a3/photo7jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/2b/a4/74/photo3jpg.jpg?w=500&h=-1&s=1']",+66 76 360 100,https://th.tripadvisor.com/Restaurant_Review-g1215781-d6787129-Reviews-La_Sirena-Phuket_Town_Phuket.html,{},"['การจอง', 'ที่นั่ง', 'ที่นั่งกลางแจ้ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'มีเก้าอี้สูงสำหรับเด็ก', 'สะดวกสำหรับผู้ใช้รถเข็น']",[],"Point Yamu by Como 225 Moo 7, Paklok, Talang, เมืองภูเก็ต, จังหวัดภูเก็ต 83110 ไทย",ภูเก็ต,ถลาง,,83,8303,0,4,46
Full Moon Brewworks - Taproom @ Phuket old town,,฿201.00 – ฿502.00,7.885442,98.39074,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/57/d4/65/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/af/49/46/caption.jpg?w=500&h=-1&s=1']",+66 92 326 9198,https://th.tripadvisor.com/Restaurant_Review-g2315818-d25301118-Reviews-Full_Moon_Brewworks_Taproom_Phuket_old_town-Talat_Yai_Phuket_Town_Phuket.html,"{'จันทร์': 'ปิด', 'อังคาร': '11:00-23:30', 'พุธ': '11:00-23:30', 'พฤหัสบดี': '11:00-23:30', 'ศุกร์': '11:00-23:30', 'เสาร์': '11:00-23:30', 'อาทิตย์': '11:00-23:30'}","['Mastercard', 'Visa', 'Wifi ฟรี', 'ซื้อกลับบ้าน', 'ดนตรีสด', 'ที่จอดรถริมถนน', 'ที่นั่ง', 'ที่นั่งกลางแจ้ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'บาร์เต็มรูปแบบ', 'รับชำระเงินแบบดิจิทัล', 'รับบัตรเครดิต', 'แบบครอบครัว', 'ไวน์และเบียร์']","['ร้านเหล้า/บาร์', 'อาหารไทย']","32 Thep Krasattri Rd., Talad-yai, Muang Phuket, ตลาดใหญ่, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,3
Dreaming Tree Phuket,,,7.830651,98.32405,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/25/5f/a0/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/f6/7f/ee/user-review-upload.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/e1/97/b3/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a9/2d/be/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a9/2d/bd/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a9/2d/bc/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a9/2d/bb/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/ff/d2/78/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/ff/d2/77/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/ff/d2/76/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/ff/d2/75/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/ff/d2/74/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/f6/7b/31/a-yummy-japanese-salad.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/f6/7b/2b/tranquility.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cf/f9/4a/the-best-view-from-a.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Restaurant_Review-g1389361-d25103220-Reviews-Dreaming_Tree_Phuket-Chalong_Phuket_Town_Phuket.html,"{'จันทร์': 'ปิด', 'อังคาร': '10:00-18:00', 'พุธ': '10:00-18:00', 'พฤหัสบดี': '10:00-18:00', 'ศุกร์': '10:00-18:00', 'เสาร์': '10:00-18:00', 'อาทิตย์': '10:00-18:00'}",[],"['อาหารคลีน/สลัด', 'อาหารนานาชาติ', 'อาหารฟิวชั่น', 'ร้านกาแฟ/ชา']","10 Soi Yot Sane1, ฉลอง, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5,7
Palai Seafood,,,7.838537,98.36476,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/ed/84/08/and-deliciuos-food-fesh.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/47/80/09/palai-seafood.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/35/5f/48/dsc-2774-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/35/5f/4a/dsc-2775-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/73/78/61/dsc-0077-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/35/5f/49/dsc-2773-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ae/a7/41/fb-img-1447611793252.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/35/5f/46/dsc-2777-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ae/a7/3f/fb-img-1447611790092.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/47/80/0d/palai-seafood.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ae/a7/3e/fb-img-1447611783059.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/86/ac/99/hieno-nakoala.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/5a/f1/53/caption.jpg?w=300&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/35/5f/47/dsc-2780-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/35/5f/4b/dsc-2771-largejpg.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Restaurant_Review-g1389361-d2433458-Reviews-Palai_Seafood-Chalong_Phuket_Town_Phuket.html,{},[],[],"Palai Beach, ฉลอง, เมืองภูเก็ต, จังหวัดภูเก็ต ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,3.5,55
53 Sweet Veggie,,,7.879811,98.39555,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/7d/67/e8/53-sweet-veggie.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/0b/4f/48/1508651562874-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/2e/14/73/53-sweet-veggie.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/0b/52/55/1508653013204-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/0b/52/50/1508652989532-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/0b/4f/49/1508651567216-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/0b/4f/46/1508651552067-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/0b/52/52/1508652994796-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/0b/4f/47/1508651558719-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/ff/a8/bc/53-sweet-veggie.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/72/b7/3c/53-sweet-veggie.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/c3/54/66/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/d6/43/24/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/2b/4e/39/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/8d/00/cd/img-20170905-wa0014-largejpg.jpg?w=500&h=-1&s=1']",+66 94 591 5614,https://th.tripadvisor.com/Restaurant_Review-g2315818-d12851372-Reviews-53_Sweet_Veggie-Talat_Yai_Phuket_Town_Phuket.html,{},[],"['อาหารฟิวชั่น', 'ร้านกาแฟ/ชา', 'อาหารไทย']","53 ซอยติลกอุทิศ 2, ตลาดใหญ่, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,24
The Barrel Phuket Town,,,7.883774,98.39032,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/af/3d/25/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/af/3d/24/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/f5/26/a6/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/f5/26/a5/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/f5/26/a4/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/db/cd/ca/sake-bar-in-phuket-town.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/db/cd/c9/sake-bar-in-phuket-town.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/db/cd/c6/sake-bar-in-phuket-town.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/db/cd/c5/sake-bar-in-phuket-town.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/db/cd/c4/sake-bar-in-phuket-town.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/db/cd/c2/sake-bar-in-phuket-town.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/db/cd/50/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/db/cd/4f/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/db/cd/4e/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/db/cd/4d/caption.jpg?w=500&h=-1&s=1']",+66 98 018 2868,https://th.tripadvisor.com/Restaurant_Review-g1215781-d25452802-Reviews-The_Barrel_Phuket_Town-Phuket_Town_Phuket.html,"{'จันทร์': '13:00-22:00', 'อังคาร': '13:00-22:00', 'พุธ': '13:00-22:00', 'พฤหัสบดี': '13:00-22:00', 'ศุกร์': '13:00-22:00', 'เสาร์': '13:00-22:00', 'อาทิตย์': 'ปิด'}","['Mastercard', 'Visa', 'ค้นพบ', 'ที่จอดรถริมถนน', 'บริการส่ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บาร์ดนตรีแจ๊ส', 'มีที่จอดรถ', 'รับชำระเงินแบบดิจิทัล', 'รับบัตรเครดิต']","['อาหารญี่ปุ่น', 'ปิ้งย่าง', 'อาหารอิตาเลี่ยน']","111 Phangnga Rd, Tambon Talat Yai, Mueang Phuket, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5,4
