name,sub_name,wongnai_url,restaurantType,facility,description,imgPath,phone,website,openingHour,priceRange,latitude,longitude,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
รัตติยาแจ่วฮ้อน,สาขา 2,https://www.wongnai.com/restaurants/96012Ko-%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%95%E0%B8%B4%E0%B8%A2%E0%B8%B2%E0%B9%81%E0%B8%88%E0%B9%88%E0%B8%A7%E0%B8%AE%E0%B9%89%E0%B8%AD%E0%B8%99-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2-2?_st=cD0wO2I9OTYwMTI7YWQ9dHJ1ZTt0PTE3MjY0MTY2MjI2NTc7cmk9MVg3YjY0Wnp1S0p1bXZSd2ZSeWNsNG5ZaHRWM0xZO2k9MVg3MFpPTGFNcmF4cFBJM0JGVWhWdjJRWElOZEVsO3dyZWY9c3I7,['อาหารไทย'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Pizza Hut,มุกดาหาร,https://www.wongnai.com/restaurants/1658993FW-pizza-hut-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3,"['พิซซ่า', 'ฟาสต์ฟู้ด/จานด่วน']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
มหาศาล,มหาศาล,https://www.wongnai.com/restaurants/1687503ln-%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A8%E0%B8%B2%E0%B8%A5-%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A8%E0%B8%B2%E0%B8%A5?_st=cD0yO2I9MTY4NzUwMzthZD1mYWxzZTt0PTE3MjY0MTY2MjMxMTI7cmk9MVg3YjY0YTAwRzB3c25KaXlram1ZQVBQMFJmT2dBO2k9MVg3MFpPTGFWUXl4d2JiQzRKVnlybkZOOE84RlZEO3dyZWY9c3I7,['อาหารอีสาน/ร้านส้มตำ'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
The Diary Cafe and Bistro,-,https://www.wongnai.com/restaurants/1327831Vy-the-diary-cafe-and-bistro?_st=cD0zO2I9MTMyNzgzMTthZD1mYWxzZTt0PTE3MjY0MTY2MjMxMjM7cmk9MVg3YjY0YTAwaXlmNVpMOXl2UUE5ZDhsak1JSURMO2k9MVg3MFpPTGFWUXl4d2JiQzRKVnlybkZOOE84RlZEO3dyZWY9c3I7,['คาเฟ่'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
บ้านลาวญวน ณ ริมโขง,,https://www.wongnai.com/restaurants/199369cH-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%A5%E0%B8%B2%E0%B8%A7%E0%B8%8D%E0%B8%A7%E0%B8%99-%E0%B8%93-%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B9%82%E0%B8%82%E0%B8%87?_st=cD00O2I9MTk5MzY5O2FkPWZhbHNlO3Q9MTcyNjQxNjYyMzEyMztyaT0xWDdiNjRhMDNZSXo3V2J6dTdMeUJKbW5uS01UUTM7aT0xWDcwWk9MYVZReXh3YmJDNEpWeXJuRk44TzhGVkQ7d3JlZj1zcjs%3D,"['อาหารอีสาน/ร้านส้มตำ', 'อาหารเวียดนาม', 'อาหารคลีน/สลัด']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ศิริชัยหมูหัน,แก่งกะเบา,https://www.wongnai.com/restaurants/128652tV-%E0%B8%A8%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%AB%E0%B8%B1%E0%B8%99-%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%87%E0%B8%81%E0%B8%B0%E0%B9%80%E0%B8%9A%E0%B8%B2?_st=cD01O2I9MTI4NjUyO2FkPWZhbHNlO3Q9MTcyNjQxNjYyMzEyNTtyaT0xWDdiNjRhMDAwSnFUUFhTSFhiV3I3Wk45cVM5bEM7aT0xWDcwWk9MYVZReXh3YmJDNEpWeXJuRk44TzhGVkQ7d3JlZj1zcjs%3D,"['อาหารอีสาน/ร้านส้มตำ', 'อาหารไทย', 'ร้านริมน้ำ']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ดา ข้าวต้มปลา (ชลบุรี) มุกดาหาร,,https://www.wongnai.com/restaurants/233149fy-%E0%B8%94%E0%B8%B2-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%9B%E0%B8%A5%E0%B8%B2-%E0%B8%8A%E0%B8%A5%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3?_st=cD02O2I9MjMzMTQ5O2FkPWZhbHNlO3Q9MTcyNjQxNjYyMzEyODtyaT0xWDdiNjRaenk0UFFWWUpWVURqODR0cnlxY1JpSHQ7aT0xWDcwWk9MYVZReXh3YmJDNEpWeXJuRk44TzhGVkQ7d3JlZj1zcjs%3D,"['อาหารไทย', 'อาหารทะเล', 'ก๋วยเตี๋ยว']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
วีที แหนมเนือง,มุกดาหาร,https://www.wongnai.com/restaurants/787686Qd-%E0%B8%A7%E0%B8%B5%E0%B8%97%E0%B8%B5-%E0%B9%81%E0%B8%AB%E0%B8%99%E0%B8%A1%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B8%AD%E0%B8%87-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3?_st=cD03O2I9Nzg3Njg2O2FkPWZhbHNlO3Q9MTcyNjQxNjYyMzEyOTtyaT0xWDdiNjRhMDFvQW5jTTAxdDMwNUE4ak9Ra1dPdkY7aT0xWDcwWk9MYVZReXh3YmJDNEpWeXJuRk44TzhGVkQ7d3JlZj1zcjs%3D,['อาหารเวียดนาม'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
"โรตีบังแอ๊ด ชาชัก ,ครัวบังแอ๊ด (ข้างที่ว่าการอำเภอ)",,https://www.wongnai.com/restaurants/830245nT-%E0%B9%82%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%9A%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%AD%E0%B9%8A%E0%B8%94-%E0%B8%8A%E0%B8%B2%E0%B8%8A%E0%B8%B1%E0%B8%81-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%9A%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%AD%E0%B9%8A%E0%B8%94-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AD%E0%B8%B3%E0%B9%80%E0%B8%A0%E0%B8%AD?_st=cD04O2I9ODMwMjQ1O2FkPWZhbHNlO3Q9MTcyNjQxNjYyMzEyOTtyaT0xWDdiNjRaenpJOW5ZM0NFWFFYSnhwUmNqNkkwaHI7aT0xWDcwWk9MYVZReXh3YmJDNEpWeXJuRk44TzhGVkQ7d3JlZj1zcjs%3D,"['ของหวาน', 'อาหารมุสลิม/ฮาลาล']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
วิรินทร์ แจ่วฮ้อน,,https://www.wongnai.com/restaurants/24219ma-%E0%B8%A7%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C-%E0%B9%81%E0%B8%88%E0%B9%88%E0%B8%A7%E0%B8%AE%E0%B9%89%E0%B8%AD%E0%B8%99?_st=cD05O2I9MjQyMTk7YWQ9ZmFsc2U7dD0xNzI2NDE2NjIzMTMwO3JpPTFYN2I2NGEwMTRoaXNXSnJVOXNlbWFhZGlxbnlDNDtpPTFYNzBaT0xhVlF5eHdiYkM0SlZ5cm5GTjhPOEZWRDt3cmVmPXNyOw%3D%3D,"['อาหารอีสาน/ร้านส้มตำ', 'อาหารเวียดนาม']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
