name,sub_name,wongnai_url,restaurantType,facility,description,imgPath,phone,website,openingHour,priceRange,latitude,longitude,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
Miso Homemade 미소 홈메이드,,https://www.wongnai.com/restaurants/183165DT-miso-homemade-%EB%AF%B8%EC%86%8C-%ED%99%88%EB%A9%94%EC%9D%B4%EB%93%9C?_st=cD0wO2I9MTgzMTY1O2FkPWZhbHNlO3Q9MTcyNzQzODMwNzA0NTtyaT0xWDdiNmJ5cUlZOUU3UHJmQlNVREVaNGNlSDY1eVk7aT0xWDcwWnZrUWxCdGtOZ3JyZlVsV2cyRUpMbWJkTWg7d3JlZj1zcjs%3D,"['อาหารเกาหลี', 'อาหารกล่อง/ข้าวกล่อง เดลิเวอรี', 'อาหารญี่ปุ่น']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
โจ๊กน้องจู,-,https://www.wongnai.com/restaurants/157683iO-%E0%B9%82%E0%B8%88%E0%B9%8A%E0%B8%81%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%88%E0%B8%B9?_st=cD0xO2I9MTU3NjgzO2FkPWZhbHNlO3Q9MTcyNzQzODMwNzA1NjtyaT0xWDdiNmJ5cUlFN1RCcER1eVBZYTVoQ0VST000TmE7aT0xWDcwWnZrUWxCdGtOZ3JyZlVsV2cyRUpMbWJkTWg7d3JlZj1zcjs%3D,['อาหารเช้า'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
เจ้ตุ๊กตา ข้าวเปึยกเส้นข้างดับเพลิง,,https://www.wongnai.com/restaurants/598779YN-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%95%E0%B8%B8%E0%B9%8A%E0%B8%81%E0%B8%95%E0%B8%B2-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%9B%E0%B8%B6%E0%B8%A2%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%B4%E0%B8%87?_st=cD0yO2I9NTk4Nzc5O2FkPWZhbHNlO3Q9MTcyNzQzODMwNzA1NztyaT0xWDdiNmJ5cUU2WjJxeFEwdDFBWmFYWVZBMW5PZ3Q7aT0xWDcwWnZrUWxCdGtOZ3JyZlVsV2cyRUpMbWJkTWg7d3JlZj1zcjs%3D,"['อาหารไทย', 'อาหารจานเดียว']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
สเต็กโคขุนหนองสูง,,https://www.wongnai.com/restaurants/2195921dX-%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B9%87%E0%B8%81%E0%B9%82%E0%B8%84%E0%B8%82%E0%B8%B8%E0%B8%99%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B9%E0%B8%87?_st=cD0zO2I9MjE5NTkyMTthZD1mYWxzZTt0PTE3Mjc0MzgzMDcxNjU7cmk9MVg3YjZieXFEY2RKOTdtYVNraDNqbHJlY0RBYlhqO2k9MVg3MFp2a1FsQnRrTmdycmZVbFdnMkVKTG1iZE1oO3dyZWY9c3I7,"['อาหารกล่อง/ข้าวกล่อง เดลิเวอรี', 'อาหารจานเดียว', 'สเต๊ก']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
goodmook*,มุกดาหาร,https://www.wongnai.com/restaurants/162324eg-goodmook-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3?_st=cD00O2I9MTYyMzI0O2FkPWZhbHNlO3Q9MTcyNzQzODMwNzE2NjtyaT0xWDdiNmJ5cUhEYVFKeWxEZjd1S2tMY3lkN1hWNms7aT0xWDcwWnZrUWxCdGtOZ3JyZlVsV2cyRUpMbWJkTWg7d3JlZj1zcjs%3D,['คาเฟ่'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ตำฮูหลูบ,ตำฮูหลูบมุกดาหาร,https://www.wongnai.com/restaurants/813521Ol-%E0%B8%95%E0%B8%B3%E0%B8%AE%E0%B8%B9%E0%B8%AB%E0%B8%A5%E0%B8%B9%E0%B8%9A-%E0%B8%95%E0%B8%B3%E0%B8%AE%E0%B8%B9%E0%B8%AB%E0%B8%A5%E0%B8%B9%E0%B8%9A%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3?_st=cD01O2I9ODEzNTIxO2FkPWZhbHNlO3Q9MTcyNzQzODMwNzE2NztyaT0xWDdiNmJ5cUlVa3RGSExnUHJBOHo1ZW9sUkFSelU7aT0xWDcwWnZrUWxCdGtOZ3JyZlVsV2cyRUpMbWJkTWg7d3JlZj1zcjs%3D,['อาหารอีสาน/ร้านส้มตำ'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ก๋วยเตี๋ยวอิ่มเอม,,https://www.wongnai.com/restaurants/120270Dk-%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%AD%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B9%80%E0%B8%AD%E0%B8%A1?_st=cD02O2I9MTIwMjcwO2FkPWZhbHNlO3Q9MTcyNzQzODMwNzE3MTtyaT0xWDdiNmJ5cUlodFQ1UjZKODRDZWp6cWhMMVZFVG07aT0xWDcwWnZrUWxCdGtOZ3JyZlVsV2cyRUpMbWJkTWg7d3JlZj1zcjs%3D,"['ก๋วยเตี๋ยว', 'ร้านกาแฟ/ชา']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Sawan Sumran,,https://www.wongnai.com/restaurants/178714Ek-sawan-sumran?_st=cD03O2I9MTc4NzE0O2FkPWZhbHNlO3Q9MTcyNzQzODMwNzE3MTtyaT0xWDdiNmJ5cUkzajQ1dGtDSTdJTGZUeHRmd0FCYWI7aT0xWDcwWnZrUWxCdGtOZ3JyZlVsV2cyRUpMbWJkTWg7d3JlZj1zcjs%3D,"['อาหารฟิวชั่น', 'เบเกอรี/เค้ก']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ตำยำ888มินิมาท,ตำยำ888มินิมาท,https://www.wongnai.com/restaurants/2227991TN-%E0%B8%95%E0%B8%B3%E0%B8%A2%E0%B8%B3888%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%A1%E0%B8%B2%E0%B8%97-%E0%B8%95%E0%B8%B3%E0%B8%A2%E0%B8%B3888%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%A1%E0%B8%B2%E0%B8%97?_st=cD04O2I9MjIyNzk5MTthZD1mYWxzZTt0PTE3Mjc0MzgzMDcxNzE7cmk9MVg3YjZieXFEWVp4Zk5nOGo5S2I4WjB6Z29vZW45O2k9MVg3MFp2a1FsQnRrTmdycmZVbFdnMkVKTG1iZE1oO3dyZWY9c3I7,"['อาหารอีสาน/ร้านส้มตำ', 'กึ่งผับ/ร้านเหล้า/บาร์']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
น้องข้าวหอม,,https://www.wongnai.com/restaurants/2766587CT-%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AB%E0%B8%AD%E0%B8%A1?_st=cD05O2I9Mjc2NjU4NzthZD1mYWxzZTt0PTE3Mjc0MzgzMDcxNzI7cmk9MVg3YjZieXFHcXVHNks5dHhobklxRWtWZk9uMVUxO2k9MVg3MFp2a1FsQnRrTmdycmZVbFdnMkVKTG1iZE1oO3dyZWY9c3I7,['อาหารอีสาน/ร้านส้มตำ'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
