name,sub_name,wongnai_url,restaurantType,facility,description,imgPath,phone,website,openingHour,priceRange,latitude,longitude,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
ร้านอาหารกำปงกะตะฮิลล์,,https://www.wongnai.com/restaurants/111132XX-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%81%E0%B8%B3%E0%B8%9B%E0%B8%87%E0%B8%81%E0%B8%B0%E0%B8%95%E0%B8%B0%E0%B8%AE%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B9%8C?_st=cD0wO2I9MTExMTMyO2FkPXRydWU7dD0xNzI2OTM1OTI0MTEzO3JpPTFYN2I2TFlaQTU2aWRmWTl2TlpUc1V3NTNZV2dwSTtpPTFYNzBaZks5aEllMERDU0VlTWJNTDJGU0EyQ2FGdDt3cmVmPXNyOw%3D%3D,['อาหารไทย'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Deven's Chef Restaurant,Phuket,https://www.wongnai.com/restaurants/275423Yu-deven-s-chef-restaurant-phuket?_st=cD0xO2I9Mjc1NDIzO2FkPXRydWU7dD0xNzI2OTM1OTI0MTI4O3JpPTFYN2I2TFlaQUNxbklLQVpDNVZPNEZKNjZ3TWd6WjtpPTFYNzBaZks5aEllMERDU0VlTWJNTDJGU0EyQ2FGdDt3cmVmPXNyOw%3D%3D,['อาหารอินเดีย'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Napa Massage,Patong,https://www.wongnai.com/restaurants/2686171Bf-napa-massage-patong,['คาเฟ่'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Pizza Hut,สามกอง ภูเก็ต,https://www.wongnai.com/restaurants/288696XG-pizza-hut-%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%81%E0%B8%AD%E0%B8%87-%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95?_st=cD0zO2I9Mjg4Njk2O2FkPWZhbHNlO3Q9MTcyNjkzNTkyNDEzMjtyaT0xWDdiNkxZWkJGWWgwZk1aN0swdnY2WHg4eWJucFY7aT0xWDcwWmZLOWhJZTBEQ1NFZU1iTUwyRlNBMkNhRnQ7d3JlZj1zcjs%3D,"['พิซซ่า', 'ฟาสต์ฟู้ด/จานด่วน']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Tops Eatery,Phuket Floresta,https://www.wongnai.com/restaurants/2133567Cu-tops-eatery-phuket-floresta?_st=cD00O2I9MjEzMzU2NzthZD1mYWxzZTt0PTE3MjY5MzU5MjQxMzM7cmk9MVg3YjZMWVpESEdEMzYyT2o2eWVJcXZIelpoSkVOO2k9MVg3MFpmSzloSWUwRENTRWVNYk1MMkZTQTJDYUZ0O3dyZWY9c3I7,['อาหารนานาชาติ'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Pizza Hut,มาร์เก็ตวิลเลจ ภูเก็ต,https://www.wongnai.com/restaurants/1962505ug-pizza-hut-%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95%E0%B8%A7%E0%B8%B4%E0%B8%A5%E0%B9%80%E0%B8%A5%E0%B8%88-%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95?_st=cD01O2I9MTk2MjUwNTthZD1mYWxzZTt0PTE3MjY5MzU5MjQxMzM7cmk9MVg3YjZMWVpBYzFwMEtLZFVMTThmdDRuTXBRYkZ0O2k9MVg3MFpmSzloSWUwRENTRWVNYk1MMkZTQTJDYUZ0O3dyZWY9c3I7,"['พิซซ่า', 'ฟาสต์ฟู้ด/จานด่วน']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
โกเบนซ์ภูเก็ต,ภูเก็ต,https://www.wongnai.com/restaurants/goben?_st=cD02O2I9ODU2NDthZD1mYWxzZTt0PTE3MjY5MzU5MjQxMzM7cmk9MVg3YjZMWVo5V1B1MGpjT0xvUEZ3VnVka3lVa3dWO2k9MVg3MFpmSzloSWUwRENTRWVNYk1MMkZTQTJDYUZ0O3dyZWY9c3I7,['อื่นๆ'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Tops Eatery,Porto de Phuket,https://www.wongnai.com/restaurants/2133570IB-tops-eatery-porto-de-phuket?_st=cD03O2I9MjEzMzU3MDthZD1mYWxzZTt0PTE3MjY5MzU5MjQxMzU7cmk9MVg3YjZMWVpCY3k1eTJocXZGMHZsN3hweXFVMDEzO2k9MVg3MFpmSzloSWUwRENTRWVNYk1MMkZTQTJDYUZ0O3dyZWY9c3I7,['อาหารนานาชาติ'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Tiger Kola,-,https://www.wongnai.com/restaurants/2043844fT-tiger-kola?_st=cD04O2I9MjA0Mzg0NDthZD1mYWxzZTt0PTE3MjY5MzU5MjQxMzU7cmk9MVg3YjZMWVo4cHJEZFZDdDFFVXQ2OHJmVEQ1ZURWO2k9MVg3MFpmSzloSWUwRENTRWVNYk1MMkZTQTJDYUZ0O3dyZWY9c3I7,['อาหารตามสั่ง'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
สามกองน้ำเต้าหู้ ๒๕๓๘,น้ำเต้าหู้สามกอง,https://www.wongnai.com/restaurants/9997DH-%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%81%E0%B8%AD%E0%B8%87%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%80%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%B9%E0%B9%89-%E0%B9%92%E0%B9%95%E0%B9%93%E0%B9%98-%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%80%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%B9%E0%B9%89%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%81%E0%B8%AD%E0%B8%87?_st=cD05O2I9OTk5NzthZD1mYWxzZTt0PTE3MjY5MzU5MjQxMzY7cmk9MVg3YjZMWVo4bzhZMEFYamlxckNPaENhOXl2TERIO2k9MVg3MFpmSzloSWUwRENTRWVNYk1MMkZTQTJDYUZ0O3dyZWY9c3I7,"['อาหารคลีน/สลัด', 'ของหวาน']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
