name,description,priceRange,latitude,longitude,imgPath,phone,website,openingHour,facility,type,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
แด้ดดี้ คาฟ่,,฿8.00 – ฿291.00,7.918141,98.39119,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/e0/f1/c7/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/24/76/b2/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/24/76/a4/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/e0/f3/3e/caption.jpg?w=500&h=-1&s=1']",+66 87 017 6182,https://th.tripadvisor.com/Restaurant_Review-g1215781-d14135560-Reviews-Daddy_cafe-Phuket_Town_Phuket.html,"{'จันทร์': '10:00-22:00', 'อังคาร': '10:00-22:00', 'พุธ': '10:00-22:00', 'พฤหัสบดี': '10:00-22:00', 'ศุกร์': '10:00-22:00', 'เสาร์': '10:00-22:00', 'อาทิตย์': '10:00-22:00'}","['Wifi ฟรี', 'ซื้อกลับบ้าน', 'ที่จอดรถริมถนน', 'ที่จอดรถริมทางฟรี', 'บริการส่ง', 'บริการเครื่องดื่มแอลกอฮอล์']","['ยุโรป', 'เกาหลี', 'ไทย']","88/4 หมู่ 6 ซ.ประชาสามัคคี ต.รัษฎา, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,0.0,0
ซาว่า เบียน มัคเช่,,,7.886529,98.38596,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/34/68/2024.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a1/ee/96/cava-bien-marche.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/cb/c8/c8/cava-bien-marche.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/40/f3/2024.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/40/f1/2024.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/40/ef/2024.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/3f/c8/the-new-menu-don-t-wait.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/3f/c6/the-new-menu-don-t-wait.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/3f/c4/the-new-menu-don-t-wait.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/3f/c2/the-new-menu-don-t-wait.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/3f/c0/the-new-menu-don-t-wait.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/3f/be/the-new-menu-don-t-wait.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/3d/27/the-new-menu-don-t-wait.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/3d/26/the-new-menu-don-t-wait.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/2e/3d/25/the-new-menu-don-t-wait.jpg?w=500&h=-1&s=1']",+66 83 991 6590,https://th.tripadvisor.com/Restaurant_Review-g2315817-d23823296-Reviews-Cava_bien_marche-Talat_Nuea_Phuket_Town_Phuket.html,"{'จันทร์': 'ปิด', 'อังคาร': '12:00-22:00', 'พุธ': '12:00-22:00', 'พฤหัสบดี': '12:00-22:00', 'ศุกร์': '12:00-22:00', 'เสาร์': '12:00-22:00', 'อาทิตย์': '12:00-22:00'}",[],"['ดีต่อสุขภาพ', 'ฝรั่งเศส', 'ยุโรป']","78/1 Dibuk Road, ตลาดเหนือ, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5.0,73
Phuket Food Factory,,,7.885987,98.38741,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/07/c0/32/phuket-food-factory.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/07/c0/21/phuket-food-factory.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/07/c0/17/phuket-food-factory.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/07/c0/11/phuket-food-factory.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/07/c0/36/phuket-food-factory.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/07/bf/f8/phuket-food-factory.jpg?w=500&h=-1&s=1']",+66 86 941 6409,https://th.tripadvisor.com/Restaurant_Review-g1215781-d9730179-Reviews-Phuket_Food_Factory-Phuket_Town_Phuket.html,{},[],[],"Soon U-tis, Yaowarat Road, Muang, Talat Nuea,, เมืองภูเก็ต, จังหวัดภูเก็ต 83100 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.0,1
New York Steak Phuket,,,7.894594,98.38959,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/51/ab/fc/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/51/ab/fb/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/51/ab/fa/caption.jpg?w=500&h=-1&s=1']",+66 76 390 593,https://th.tripadvisor.com/Restaurant_Review-g2315818-d26301388-Reviews-New_York_Steak_Phuket-Talat_Yai_Phuket_Town_Phuket.html,"{'จันทร์': '11:00-23:00', 'อังคาร': '11:00-23:00', 'พุธ': '11:00-23:00', 'พฤหัสบดี': '11:00-23:00', 'ศุกร์': '11:00-23:00', 'เสาร์': '11:00-23:00', 'อาทิตย์': '11:00-23:00'}",[],['อิตาลี'],"7 ถนนเทพกระษัตรี, ตลาดใหญ่, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,-1.0,1
มิสเตอร์ กู๊ดส์ ซีฟู๊ด,,,7.893812,98.298584,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/ba/25/4a/perfect-tiger-prawns.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/2c/bb/a6/mr-good-s-seafood.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/16/12/28/6c/img-20180330-175900-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/2c/bb/ac/mr-good-s-seafood_rotated_90.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/16/12/28/6d/img-20180330-180147-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/fb/d1/69/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/2c/bb/b4/mr-good-s-seafood.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/16/12/28/6b/img-20180330-175143-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/16/12/28/69/img-20180330-174844-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/16/12/28/6e/img-20180330-182649-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/16/12/28/6a/img-20180330-174848-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/81/f6/16/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/37/3f/63/img-20171027-015238-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/81/f6/18/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/81/f6/17/photo1jpg.jpg?w=500&h=-1&s=1']",,https://th.tripadvisor.com/Restaurant_Review-g1215781-d3222243-Reviews-Mr_Good_s_Seafood-Phuket_Town_Phuket.html,{},[],"['อาหารทะเล', 'เอเชีย']","51/1 ถนนราษฎร์อุทิศ 200 ปี หมู่ 3, เมืองภูเก็ต, จังหวัดภูเก็ต ไทย",ภูเก็ต,กะทู้,,83,8302,0,3.0,31
Pu TD Veggie,,฿60.00 – ฿251.00,7.851674,98.34845,[''],,https://th.tripadvisor.com/Restaurant_Review-g1389361-d10164793-Reviews-Pu_TD_Veggie-Chalong_Phuket_Town_Phuket.html,{},[],"['ยุโรป', 'อิตาลี', 'อเมริกัน', 'ไทย']","45/5 ซอยตาเอียด หมู่ 1, ฉลอง, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.0,1
Waka Waka Cafe,,,7.859094,98.34336,[''],+66 95 417 3461,https://th.tripadvisor.com/Restaurant_Review-g1389361-d24097146-Reviews-Waka_Waka_Cafe-Chalong_Phuket_Town_Phuket.html,"{'จันทร์': 'ปิด', 'อังคาร': '08:00-22:00', 'พุธ': '08:00-22:00', 'พฤหัสบดี': '08:00-22:00', 'ศุกร์': '08:00-22:00', 'เสาร์': '08:00-22:00', 'อาทิตย์': '08:00-22:00'}",[],"['นานาชาติ', 'พิซซ่า', 'ลัตซีโย', 'อิตาลี', 'อิตาลีทางตอนกลาง', 'โรมัน', 'ไทย']","41/7 Moo6 Chao Fah Tawan Tok Rd, Chalong, ฉลอง, เมืองภูเก็ต, จังหวัดภูเก็ต 83130 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,0.0,0
The Cable Grill,,,7.94434,98.3847,[''],,https://th.tripadvisor.com/Restaurant_Review-g2315815-d18126095-Reviews-The_Cable_Grill-Ratsada_Phuket_Town_Phuket.html,{},[],['อเมริกัน'],"ถนนท่าเรือใหม่, รัษฎา, เมืองภูเก็ต, จังหวัดภูเก็ต ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,2.0,2
Pancake Corner,,,7.886688,98.39173,[''],,https://th.tripadvisor.com/Restaurant_Review-g1215781-d21053822-Reviews-Pancake_Corner-Phuket_Town_Phuket.html,{},[],[],"2/23 Dibuk Rd, Talat Yai Limelight Avenue, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,3.0,1
Muyee Seafood,,,7.869475,98.37251,[''],+66 85 472 9609,https://th.tripadvisor.com/Restaurant_Review-g1215781-d3606009-Reviews-Muyee_Seafood-Phuket_Town_Phuket.html,{},[],"['อาหารทะเล', 'ไทย']","77/12,Moo 3, Ban nai yang, เมืองภูเก็ต, จังหวัดภูเก็ต 83110 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.0,2
