name,description,priceRange,latitude,longitude,imgPath,phone,website,openingHour,facility,type,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
Monkey Cafe,,,7.878192,98.3938,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/5c/5a/f3/good.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/5c/5a/96/tiny-quaint-cafe-with.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/88/1d/4c/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/5c/5a/b0/tiny-quaint-cafe-with.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/12/d4/5c/20180810-182608-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/9d/30/38/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/b4/d3/68/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/aa/12/13/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/5c/5a/c3/milk-poured-over-cofee.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/23/53/08/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/aa/12/12/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/aa/12/14/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/5c/5a/db/good.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/9d/30/37/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/12/d4/5b/img-20180810-183054-970.jpg?w=500&h=-1&s=1']",+66 76 222 266,https://th.tripadvisor.com/Restaurant_Review-g1215781-d12821494-Reviews-Monkey_Cafe-Phuket_Town_Phuket.html,{},[],[],"ตำบลตลาดใหญ่ ข้างร้านคิปลิ้ง ตรงข้ามห้างโรบินสัน, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,11
ร้านอาหารเบียร์เฟสต์และโรงเบียร์คราฟท์เบียร์,,฿180.00 – ฿349.00,7.9,98.36765,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/2e/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/06/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/0a/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/09/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/08/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/07/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/05/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/04/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/73/03/7.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/38/150.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/37/150.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/36/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/35/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/34/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/3e/71/33/caption.jpg?w=500&h=-1&s=1']",+66 86 488 4149,https://th.tripadvisor.com/Restaurant_Review-g2315814-d26679753-Reviews-Beerfest_Restaurant_And_Craft_Beer_Brewery_Phuket-Wichit_Phuket_Town_Phuket.html,{},"['Mastercard', 'Visa', 'Wifi ฟรี', 'การจอง', 'การรับประทานอาหารแบบส่วนตัว', 'ซื้อกลับบ้าน', 'ที่จอดรถริมถนน', 'ที่นั่ง', 'ที่นั่งกลางแจ้ง', 'บริการส่ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บาร์ชมกีฬา', 'บาร์เต็มรูปแบบ', 'รับชำระเงินแบบดิจิทัล', 'รับเฉพาะเงินสด', 'ร้านอาหารปลอดบุหรี่', 'สะดวกสำหรับผู้ใช้รถเข็น', 'โทรทัศน์', 'ไวน์และเบียร์']","['ผับเบียร์', 'พิซซ่า', 'ยุโรป', 'ร้านอาหารมีเบียร์ให้บริการ', 'อิตาลี']","46/6 Mu. 5, วิชิต, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,12
Portofino Italian Restaurant,,฿150.00 – ฿798.00,7.964084,98.38642,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/bb/77/c3/santa-has-been-visiting.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/c9/92/59/roasted-turkey-breast.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/bb/a1/5e/sicilian-seafood-salad.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/8d/46/06/fresh-seafood-from-our.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/c9/92/61/salmon-on-a-shellfish.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/8d/45/fd/happy-friends-at-our.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/8d/46/1a/daily-made-dessert-to.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/6b/62/58/getlstd-property-photo.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/b9/27/dd/portofino-outdoor-dining.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/82/7b/81/photo3jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/82/7b/84/photo5jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/10/18/12/melon-au-jambon-cru.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/82/7b/8b/photo9jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/82/7b/83/photo4jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/82/7b/89/photo8jpg.jpg?w=500&h=-1&s=1']",+66 95 582 2378,https://th.tripadvisor.com/Restaurant_Review-g1893005-d15512574-Reviews-Portofino_Italian_Restaurant-Koh_Kaew_Phuket_Town_Phuket.html,{},"['Wifi ฟรี', 'การจอง', 'ซื้อกลับบ้าน', 'ที่จอดรถริมถนน', 'ที่จอดรถริมทางฟรี', 'ที่นั่ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'รับบัตรเครดิต']","['พิซซ่า', 'อิตาลี']","20/5 หมู่ 2 Boat Lagoon yachting, เกาะแก้ว, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,0
La Cabana Chalong,,,7.848356,98.335495,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/84/5d/46/souvlaki-chicken.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/97/73/9e/kormos-is-our-homemade.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/97/72/ff/kormos-is-our-homemade.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a2/47/3b/a-life-full-of-tasty.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/93/b3/82/merry-chrismas-dear-values.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/a8/5c/02/eat-drink-and-be-scary.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/84/68/87/greek-salad-with-chicken.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/84/5d/53/eggplant-ball.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/84/5d/4c/imam.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/84/5d/3f/fried-feta.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/84/5d/3e/keftedakia.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/84/5d/3c/greek-salad.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/84/5d/3a/gyros-chicken.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/f6/bd/3b/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/f6/bd/3a/caption.jpg?w=500&h=-1&s=1']",+66 98 608 1809,https://th.tripadvisor.com/Restaurant_Review-g1389361-d25063754-Reviews-La_Cabana_Chalong-Chalong_Phuket_Town_Phuket.html,{},"['Mastercard', 'Visa', 'Wifi ฟรี', 'การจอง', 'ซื้อกลับบ้าน', 'ที่จอดรถริมถนน', 'ที่จอดรถริมทางฟรี', 'ที่นั่ง', 'ที่นั่งกลางแจ้ง', 'บริการจอดรถ', 'บริการส่ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'บาร์ชมกีฬา', 'บาร์เต็มรูปแบบ', 'มีที่จอดรถ', 'มีบัตรของขวัญ', 'รับชำระเงินแบบดิจิทัล', 'รับบัตรเครดิต', 'เป็นมิตรกับสุนัข', 'แบบครอบครัว', 'โทรทัศน์', 'ไดร์ฟ-ทรู', 'ไวน์และเบียร์']",['กรีก'],"77/4 Luang Por Cham Road, ฉลอง, เมืองภูเก็ต, จังหวัดภูเก็ต 83130 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5,7
Cafe Delight Phuket Old Town,,฿200.00 – ฿399.00,7.883175,98.38882,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/45/9d/c3/cafe-interior.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/ab/brunch.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/aa/coffee-bar.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/a8/upstairs-seating-booths.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/8d/delicious-ribs.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/8c/breakfast.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/8b/classy-atmosphere.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/8a/tropical-smoothie-bowl.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/89/brunch.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/88/mac-cheese.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/87/brunch-anyone.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/86/satisfy-your-appetite.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/85/fried-chicken-waffle.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/83/brunch.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/af/15/80/ribs.jpg?w=500&h=-1&s=1']",+66 92 351 9262,https://th.tripadvisor.com/Restaurant_Review-g1215781-d26587192-Reviews-Cafe_Delight_Phuket_Old_Town-Phuket_Town_Phuket.html,{},"['ซื้อกลับบ้าน', 'ที่จอดรถริมถนน', 'ที่นั่ง', 'รับชำระเงินแบบดิจิทัล', 'รับบัตรเครดิต', 'ไวน์และเบียร์']","['ร้านกาแฟ', 'อเมริกัน']","27 Ratsada Rd Talat Yai, Mueang Phuket District, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,5,7
Mirror Mirror,,,7.886117,98.38821,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/a2/9a/3e/mirror-mirror.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/57/76/cd/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/43/51/a9/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/57/76/ca/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/57/76/ce/photo3jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/a2/99/e2/mirror-mirror.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/a2/99/c5/mirror-mirror.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/43/51/ab/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/43/51/aa/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/43/51/ac/photo3jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/15/25/9e/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/c4/b2/0b/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d6/f0/04/mirror-mirror.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/15/25/a0/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/c4/b1/02/caption.jpg?w=500&h=-1&s=1']",+66 76 355 914,https://th.tripadvisor.com/Restaurant_Review-g2315818-d6954065-Reviews-Mirror_Mirror-Talat_Yai_Phuket_Town_Phuket.html,{},[],['ยุโรป'],"31 ถ. ดีบุก, ตลาดใหญ่, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,48
Sizzler,,,7.892449,98.368614,[''],+66 76 249 788,https://th.tripadvisor.com/Restaurant_Review-g1215781-d5085107-Reviews-Sizzler-Phuket_Town_Phuket.html,{},"['ที่นั่ง', 'บริการเสิร์ฟถึงโต๊ะ', 'มีเก้าอี้สูงสำหรับเด็ก', 'สะดวกสำหรับผู้ใช้รถเข็น']",[],"Central Festival Phuket, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,3.5,104
เดอะ เชลเตอร์ คอฟฟี่,,฿6.00 – ฿189.00,7.886389,98.38592,[''],+66 86 595 5148,https://th.tripadvisor.com/Restaurant_Review-g1215781-d12148538-Reviews-The_Shelter_Coffee_Phuket-Phuket_Town_Phuket.html,{},[],"['ดีต่อสุขภาพ', 'ฟิวชั่น', 'ร้านกาแฟ', 'อาหารริมถนน']","97 ถ.ดีบุก Taladnua, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,49
โกต้าข้าวมันไก่,,,7.879906,98.39272,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/db/ce/18/ko-ta-chicken-and-rice.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/c5/0d/8b/img-20160831-wa0000-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/81/f4/79/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/e8/0c/69/ko-ta-chicken-and-rice.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/9d/e9/cb/chicken-rice.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/f6/10/81/chicken-rice.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/db/ce/1f/ko-ta-chicken-and-rice.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/9e/bb/4c/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/9e/ba/f2/caption.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/51/d5/a1/20171120-110727-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/67/dc/a8/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/2e/7d/88/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/cb/3d/4f/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/db/ce/03/ko-ta-chicken-and-rice.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/db/cd/ef/ko-ta-chicken-and-rice.jpg?w=500&h=-1&s=1']",+66 76 212 816,https://th.tripadvisor.com/Restaurant_Review-g1215781-d6589597-Reviews-Ko_Ta_Chicken_and_Rice-Phuket_Town_Phuket.html,{},"['ซื้อกลับบ้าน', 'บริการเสิร์ฟถึงโต๊ะ']","['เอเชีย', 'ไทย']","16-18 ซอยสุรินทร์ ถ.มนตรี, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4.5,40
"La Taverna Italian Restaurant,Pizzeria & Wine Bar",,,7.963175,98.38535,"['https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/4f/44/a9/getlstd-property-photo.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/26/d1/photo6jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/26/cc/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/26/ce/photo3jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/26/cf/photo4jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/81/6a/54/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/26/d0/photo5jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/3b/e1/87/20190707-204100-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1c/5c/35/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1c/5c/36/photo3jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1c/5c/33/photo0jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1c/5c/34/photo1jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/3b/e1/88/20190707-203653-largejpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/26/cd/photo2jpg.jpg?w=500&h=-1&s=1', 'https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/2f/3c/c7/la-taverna-italian-restaurant.jpg?w=500&h=-1&s=1']",+66 84 324 6982,https://th.tripadvisor.com/Restaurant_Review-g1215781-d4710945-Reviews-La_Taverna_Italian_Restaurant_Pizzeria_Wine_Bar-Phuket_Town_Phuket.html,{},"['Wifi ฟรี', 'การจอง', 'ซื้อกลับบ้าน', 'ดนตรีสด', 'ที่นั่ง', 'ที่นั่งกลางแจ้ง', 'บริการส่ง', 'บริการเครื่องดื่มแอลกอฮอล์', 'บริการเสิร์ฟถึงโต๊ะ', 'สะดวกสำหรับผู้ใช้รถเข็น']","['พิซซ่า', 'ยุโรป', 'อิตาลี']","39/10 หมู่ 2 โบ๊ทลากูน มารีน่า, เมืองภูเก็ต, จังหวัดภูเก็ต 83000 ไทย",ภูเก็ต,เมืองภูเก็ต,,83,8301,0,4,68
